location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,1990-11-10,1990/1991,19,,,,,,,,,,,,,,,,,,,,,,
Albury,1990-11-17,1990/1991,20,,,,,,,,,,,,,,,,,,,,,,
Albury,1990-11-24,1990/1991,21,,,,,,,,,,,,,,,,,,,,,,
Albury,1990-12-01,1990/1991,22,,,,,,,,,,,,,,,,,,,,,,
Albury,1990-12-08,1990/1991,23,,,,,,,,,,,,,,,,,,,,,,
Albury,1990-12-15,1990/1991,24,,,,,,,,,,,,,,,,,,,,,,
Albury,1990-12-22,1990/1991,25,,,,1,,,,,,,,,,,,,,,,,,
Albury,1990-12-29,1990/1991,26,,,,,,,,,,,,,,,,,,,,,,
Albury,1991-01-05,1990/1991,27,,,,,,,,,,,,,,,,,,7.49,37.5,38.9,19.9,19.3
Albury,1991-01-12,1990/1991,28,,,,,,,,,,,,,,,,,,42.09,31.7,39,15,11.9
Albury,1991-01-19,1990/1991,29,85,67,0,,,,,,,,,,,,,,,0.43,33.3,36.6,16.8,14
Albury,1991-01-26,1990/1991,30,48,36,0,,,,,,,,,,,,,,,39.37,30.7,33.4,18.3,14.6
Albury,1991-02-02,1990/1991,31,53,46,0,,,,,,,,,,,,,,,0,27.5,30,12.4,9.8
Albury,1991-02-09,1990/1991,32,42,41,0,,,,,,,,,,,,,,,0.47,36.1,40.1,16.9,12.3
Albury,1991-02-16,1990/1991,33,1,1,0,,,,,,,,,,,,,,,0.16,33.1,37.8,13.8,11.2
Albury,1991-02-23,1990/1991,34,157,152,0,,,,,,,,,,,,,,,0.38,31.2,34.9,12.6,10.2
Albury,1991-03-02,1990/1991,35,,,,,,,,,,,,,,,,,,0.05,32.4,38,17.4,12.8
Albury,1991-03-09,1990/1991,36,256,240,0,,,,,,,,,,,,,,,0.12,33.3,37.6,13.7,6.7
Albury,1991-03-16,1990/1991,37,36,33,0,,,,,,,,,,,,,,,11.14,27.5,31.6,11.3,7.3
Albury,1991-03-23,1990/1991,38,,,,,,,,,,,,,,,,,,9.08,25.9,30.5,12.2,6.1
Albury,1991-03-30,1990/1991,39,18,11,0,,,,,,,,,,,,,,,0.24,24.3,28.3,7.1,5.8
Albury,1991-04-06,1990/1991,40,,,,,,,,,,,,,,,,,,2.01,22.8,27.5,8.6,3.5
Albury,1991-04-13,1990/1991,41,,,,,,,,,,,,,,,,,,0,25.8,27.6,8.7,7.3
Albury,1991-04-20,1990/1991,42,,,,,,,,,,,,,,,,,,8.85,20.6,27.9,7.4,3.4
Albury,1991-04-27,1990/1991,43,,,,,,,,,,,,,,,,,,0.67,19.8,23.5,5.5,0.8
Albury,1991-05-04,1990/1991,44,,,,,,,,,,,,,,,,,,0.1,19.4,21.8,6.2,-0.4
Albury,1991-05-11,1990/1991,45,,,,,,,,,,,,,,,,,,1.53,19.4,24.3,4.7,0.4
Albury,1991-05-18,1990/1991,46,,,,,,,,,,,,,,,,,,0.1,18,19.3,1.6,-0.9
Albury,1991-05-25,1990/1991,47,,,,,,,,,,,,,,,,,,9.46,18,20,4,1
Albury,1991-06-01,1990/1991,48,,,,,,,,,,,,,,,,,,0.04,18.4,19.8,4.2,0.6
Ballina,1990-11-10,1990/1991,19,,,,,,,,,,,,,,,,,,,,,,
Ballina,1990-11-17,1990/1991,20,,,,,,,,,,,,,,,,,,,,,,
Ballina,1990-11-24,1990/1991,21,,,,,,,,,,,,,,,,,,,,,,
Ballina,1990-12-01,1990/1991,22,,,,,,,,,,,,,,,,,,,,,,
Ballina,1990-12-08,1990/1991,23,,,,,,,,,,,,,,,,,,,,,,
Ballina,1990-12-15,1990/1991,24,,,,,,,,,,,,,,,,,,,,,,
Ballina,1990-12-22,1990/1991,25,,,,,,,,,,,,,,,,,,,,,,
Ballina,1990-12-29,1990/1991,26,,,,,,,,,,,,,,,,,,,,,,
Ballina,1991-01-05,1990/1991,27,48,0,6,,,,,,,,,,,,,,,5.6,29.7,30.7,20.9,19.5
Ballina,1991-01-12,1990/1991,28,87,0,0,,,,,,,,,,,,,,,4.6,29.7,35.1,19.2,15.5
Ballina,1991-01-19,1990/1991,29,212,0,46,,,,,,,,,,,,,,,74.82,28.3,30.6,19.3,17.3
Ballina,1991-01-26,1990/1991,30,194,0,6,,,,,,,,,,,,,,,78.46,30.7,32,21.4,19
Ballina,1991-02-02,1990/1991,31,292,0,40,,,,,,,,,,,,,,,20.07,30,32.6,21.7,19.5
Ballina,1991-02-09,1990/1991,32,214,0,32,,,,,,,,,,,,,,,80.73,28.6,29.5,20.6,18.8
Ballina,1991-02-16,1990/1991,33,594,2,55,,,,,,,,,,,,,,,25.07,29.2,30.3,21.7,20.5
Ballina,1991-02-23,1990/1991,34,367,0,26,,,,,,,,,,,,,,,15.99,27.7,32.1,19.6,17.7
Ballina,1991-03-02,1990/1991,35,304,0,38,,,,,,,,,,,,,,,28.54,28.4,29.6,18.9,17.9
Ballina,1991-03-09,1990/1991,36,217,0,23,,,,,,,,,,,,,,,21.85,26.8,28.6,18.1,16.9
Ballina,1991-03-16,1990/1991,37,362,0,42,,,,,,,,,,,,,,,143.69,27.4,28.8,17.9,16.1
Ballina,1991-03-23,1990/1991,38,197,0,15,,,,,,,,,,,,,,,0,27.6,29.5,16.8,15.9
Ballina,1991-03-30,1990/1991,39,393,3,21,,,,,,,,,,,,,,,1.05,27.8,31.6,16.6,14.5
Ballina,1991-04-06,1990/1991,40,1016,6,70,,,,,,,,,,,,,,,20.12,26.8,30,16.8,14.7
Ballina,1991-04-13,1990/1991,41,309,4,20,,,,,,,,,,,,,,,37.94,24.9,27.5,15.3,13.7
Ballina,1991-04-20,1990/1991,42,389,0,45,,,,,,,,,,,,,,,1.92,25.7,27.6,14.5,13
