location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,2015-11-07,2015/2016,19,6,0,0,,,,,,,,,,,,,,,63.28,25,28.3,15.3,12.8
Albury,2015-11-14,2015/2016,20,10,3,0,,,,,,,,,,,,,,,22.6,27.4,32,14,9.3
Albury,2015-11-21,2015/2016,21,12,1,0,,,,,,,,,,,,,,,0,30.1,36.7,13.9,11.3
Albury,2015-11-28,2015/2016,22,26,9,0,,,,,,,,,,,,,,,0,26.2,33.1,10.2,5
Albury,2015-12-05,2015/2016,23,24,16,0,,,,,,,,,,,,,,,0.41,28.1,31.7,11.1,7.5
Albury,2015-12-12,2015/2016,24,7,3,0,,,,,,,,,,,,,,,10.84,31.1,35.3,17.4,14
Albury,2015-12-19,2015/2016,25,20,6,0,,,,,,,,,,,,,,,0,31.8,36.2,13.2,7.8
Albury,2015-12-26,2015/2016,26,,,,,,,,,,,,,,,,,,11.87,32.5,40.7,17.5,14.9
Albury,2016-01-02,2015/2016,27,,,,,,,,,,,,,,,,,,13.06,30.4,36.5,15.4,10.5
Albury,2016-01-09,2015/2016,28,6,1,0,,,,,,,,,,,,,,,31.06,26.9,32.7,16.8,13.9
Albury,2016-01-16,2015/2016,29,15,7,0,,,,,,,,,,,,,,,0.32,34.8,42.4,18.2,10.7
Albury,2016-01-23,2015/2016,30,16,3,0,,,,,,,,,,,,,,,0.08,32.5,39,17.2,10.4
Albury,2016-01-30,2015/2016,31,,,,,,,,,,,,,,,,,,39.85,29.9,33.5,17.5,16.7
Albury,2016-02-06,2015/2016,32,16,4,0,,,,,,,,,,,,,,,34.92,27.1,29.8,13.9,10.1
Albury,2016-02-13,2015/2016,33,20,14,0,,,,,,,,,,,,,,,0,33.5,34.7,16.2,14.4
Albury,2016-02-20,2015/2016,34,20,10,0,,,,,,,,,,,,,,,0,29.9,37,14.2,10.2
Albury,2016-02-27,2015/2016,35,48,32,0,,,,,,,,,,,,,,,0.22,35,40.3,17.7,13.7
Albury,2016-03-05,2015/2016,36,14,4,0,,,,,,,,,,,,,,,0,34.2,36.8,15.8,14.3
Albury,2016-03-12,2015/2016,37,12,7,0,,,,,,,,,,,,,,,2.41,36.5,38,20.5,18.1
Albury,2016-03-19,2015/2016,38,0,0,0,,,,,,,,,,,,,,,18.52,30.9,34.8,18.6,15.9
Albury,2016-03-26,2015/2016,39,6,0,0,,,,,,,,,,,,,,,12.37,25,27.8,11.9,8.9
Albury,2016-04-02,2015/2016,40,8,1,0,,,,,,,,,,,,,,,1.43,25.2,26.6,10.4,8.6
Albury,2016-04-09,2015/2016,41,9,0,0,,,,,,,,,,,,,,,0.09,25.8,31.1,8.7,6
Albury,2016-04-16,2015/2016,42,6,0,0,,,,,,,,,,,,,,,0.69,25,27.6,8.4,4.8
Albury,2016-04-23,2015/2016,43,6,0,0,,,,,,,,,,,,,,,6.73,25.2,28.3,10.9,8.4
Albury,2016-04-30,2015/2016,44,,,,,,,,,,,,,,,,,,0,25.1,27.6,9,5.3
Albury,2016-05-07,2015/2016,45,,,,,,,,,,,,,,,,,,14.14,20,23.9,9.7,4.1
Albury,2016-05-14,2015/2016,46,,,,,,,,,,,,,,,,,,73.51,18.1,23.3,11.6,7.6
Albury,2016-05-21,2015/2016,47,,,,,,,,,,,,,,,,,,4.87,18.6,21.5,9,6.8
Albury,2016-05-28,2015/2016,48,,,,,,,,,,,,,,,,,,21.37,15.6,20.9,6.3,3
Ballina,2015-11-07,2015/2016,19,,,,,,,,,,,,,,,,,,47.72,27.2,29.3,17.4,13.6
Ballina,2015-11-14,2015/2016,20,,,,,,,,,,,,,,,,,,44.24,25.4,28.8,16.9,14.7
Ballina,2015-11-21,2015/2016,21,,,,,,,,,,,,,,,,,,44.33,27.1,33.2,16.5,14.2
Ballina,2015-11-28,2015/2016,22,,,,,,,,,,,,,,,,,,29.75,29.3,34.4,20.3,19.2
Ballina,2015-12-05,2015/2016,23,262,6,4,,,,,,,,,,,,,,,57.38,26.9,31.3,19.8,16.1
Ballina,2015-12-12,2015/2016,24,60,2,0,,,,,,,,,,,,,,,26.72,28.2,32.9,17.2,15.1
Ballina,2015-12-19,2015/2016,25,149,0,0,,,,,,,,,,,,,,,27.97,26.7,28.5,19.1,16
Ballina,2015-12-26,2015/2016,26,50,0,0,,,,,,,,,,,,,,,21.49,27.4,29.5,18.1,16.2
Ballina,2016-01-02,2015/2016,27,,,,,,,,,,,,,,,,,,56.1,26,28.5,18.2,16.7
Ballina,2016-01-09,2015/2016,28,134,2,2,,,,,,,,,,,,,,,61.35,25.7,27.7,18.1,16.2
Ballina,2016-01-16,2015/2016,29,124,2,0,,,,,,,,,,,,,,,0,28.8,31.2,19,17.1
Ballina,2016-01-23,2015/2016,30,70,6,0,,,,,,,,,,,,,,,27.89,28.3,32.2,17.9,16.2
Ballina,2016-01-30,2015/2016,31,28,1,0,,,,,,,,,,,,,,,10.99,28.8,32.6,20.2,18.6
Ballina,2016-02-06,2015/2016,32,206,2,0,,,,,,,,,,,,,,,39.24,30.9,33.7,21.7,19.5
Ballina,2016-02-13,2015/2016,33,278,3,1,,,,,,,,,,,,,,,49.18,27.1,28,19.9,17.4
Ballina,2016-02-20,2015/2016,34,219,2,0,,,,,,,,,,,,,,,4.96,29.7,32.3,20.5,18.6
Ballina,2016-02-27,2015/2016,35,388,0,0,,,,,,,,,,,,,,,2.29,29.3,30.6,19.4,16.9
Ballina,2016-03-05,2015/2016,36,400,23,0,,,,,,,,,,,,,,,113.62,27.5,28.8,21,19.8
Ballina,2016-03-12,2015/2016,37,108,0,0,,,,,,,,,,,,,,,21.68,28.3,28.7,19.7,18.1
Ballina,2016-03-19,2015/2016,38,1908,20,8,,,,,,,,,,,,,,,82,27.5,29,20.1,18.3
Ballina,2016-03-26,2015/2016,39,846,12,2,,,,,,,,,,,,,,,22.51,26.4,27.7,17.9,16.2
Ballina,2016-04-02,2015/2016,40,1556,40,3,,,,,,,,,,,,,,,49.09,27.5,29.4,17.9,16.1
Ballina,2016-04-09,2015/2016,41,412,6,0,,,,,,,,,,,,,,,2.89,27.9,29.3,17.6,14.4
Ballina,2016-04-16,2015/2016,42,785,19,0,,,,,,,,,,,,,,,38.48,26.7,29.6,18.1,15.3
Ballina,2016-04-23,2015/2016,43,710,12,2,,,,,,,,,,,,,,,5.77,25.4,27,16,14.8
Ballina,2016-04-30,2015/2016,44,554,16,1,,,,,,,,,,,,,,,20.82,24.7,25.3,16.7,15
Ballina,2016-05-07,2015/2016,45,155,3,0,,,,,,,,,,,,,,,7.91,25.9,27.3,15.4,12.2
Ballina,2016-05-14,2015/2016,46,273,4,0,,,,,,,,,,,,,,,0.28,25.3,28,13.9,7.5
Ballina,2016-05-21,2015/2016,47,116,0,0,,,,,,,,,,,,,,,0.21,25.4,26.5,11.3,10.4
Ballina,2016-05-28,2015/2016,48,166,0,0,,,,,,,,,,,,,,,3.4,24.5,27.1,11.9,6.7
Blacktown,2015-11-07,2015/2016,19,,,,,,,,,,,,,,,,,,50.09,25.6,31.9,15.8,12.8
Blacktown,2015-11-14,2015/2016,20,,,,,,,,,,,,,,,,,,5.77,26.1,29.9,14.9,11.9
Blacktown,2015-11-21,2015/2016,21,,,,,,,,,,,,,,,,,,46.54,29.5,40.4,14.9,11.2
Blacktown,2015-11-28,2015/2016,22,,,,,,,,,,,,,,,,,,0,28.3,37,15.9,14
Blacktown,2015-12-05,2015/2016,23,,,,,,,,,,,,,,,,,,1.03,27.9,39,16,11.2
Blacktown,2015-12-12,2015/2016,24,,,,,,,,,,,,,,,,,,3.86,30.7,35.5,17.2,11.5
Blacktown,2015-12-19,2015/2016,25,,,,,,,,,,,,,,,,,,10.74,29.4,34.9,16.4,14.3
Blacktown,2015-12-26,2015/2016,26,,,,,,,,,,,,,,,,,,41.03,29,39.7,16.9,14.4
Blacktown,2016-01-02,2015/2016,27,,,,,,,,,,,,,,,,,,5.49,26.8,29.9,14.6,11.8
Blacktown,2016-01-09,2015/2016,28,,,,,,,,,,,,,,,,,,163.8,23.6,28.2,16.2,13.1
Blacktown,2016-01-16,2015/2016,29,,,,,,,,,,,,,,,,,,34.83,32.3,40,17.8,12.8
Blacktown,2016-01-23,2015/2016,30,,,,,,,,,,,,,,,,,,26.86,31,38.6,17.3,13.4
Blacktown,2016-01-30,2015/2016,31,,,,,,,,,,,,,,,,,,16.2,27.2,31.1,19.9,19.2
Blacktown,2016-02-06,2015/2016,32,,,,,,,,,,,,,,,,,,46.5,28.1,32.1,17.5,14.5
Blacktown,2016-02-13,2015/2016,33,32,18,0,,,,,,,,,,,,,,,0.77,29,31.1,17.4,16.5
Blacktown,2016-02-20,2015/2016,34,41,12,0,,,,,,,,,,,,,,,0,31.3,37.5,18.1,15.3
