location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,2013-11-02,2013/2014,18,,,,,,,,,,,,,,,,,,0.32,23.2,27,7.1,4.7
Albury,2013-11-09,2013/2014,19,,,,,,,,,,,,,,,,,,0,26.6,33.8,8.8,3.6
Albury,2013-11-16,2013/2014,20,4,2,0,,,,,,,,,,,,,,,12.1,20.1,24.6,9,5.1
Albury,2013-11-23,2013/2014,21,10,0,0,,,,,,,,,,,,,,,0.04,28.1,33.6,11.2,8.6
Albury,2013-11-30,2013/2014,22,6,3,0,,,,,,,,,,,,,,,0,27.9,34.5,10.2,7
Albury,2013-12-07,2013/2014,23,6,0,0,,,,,,,,,,,,,,,34.9,26.6,36,12.6,5.3
Albury,2013-12-14,2013/2014,24,4,2,0,,,,,,,,,,,,,,,0.02,27,31.6,10.9,6.5
Albury,2013-12-21,2013/2014,25,14,3,0,,,,,,,,,,,,,,,0.2,34.6,40.1,17,12.5
Albury,2013-12-28,2013/2014,26,,,,,,,,,,,,,,,,,,21.08,31.2,40.2,17.1,11.5
Albury,2014-01-04,2013/2014,27,,,,,,,,,,,,,,,,,,0.21,30.3,36.3,14,9.8
Albury,2014-01-11,2013/2014,28,6,0,0,,,,,,,,,,,,,,,0.51,27.8,32.6,12.2,8
Albury,2014-01-18,2013/2014,29,29,9,0,,,,,,,,,,,,,,,0,39.8,42.4,19.9,16.3
Albury,2014-01-25,2013/2014,30,22,22,0,,,,,,,,,,,,,,,6.26,33.4,40.6,18.4,15.1
Albury,2014-02-01,2013/2014,31,64,51,0,,,,,,,,,,,,,,,31.51,34.7,40.9,17,12.8
Albury,2014-02-08,2013/2014,32,,,,,,,,,,,,,,,,,,1.14,36.1,41,19.1,15.4
Albury,2014-02-15,2013/2014,33,16,14,0,,,,,,,,,,,,,,,0,35.6,41.1,18.8,14.8
Albury,2014-02-22,2013/2014,34,17,11,0,,,,,,,,,,,,,,,26.47,27.9,32.7,15,8.6
Albury,2014-03-01,2013/2014,35,10,8,0,,,,,,,,,,,,,,,1.28,30.6,34,13.6,10.7
Albury,2014-03-08,2013/2014,36,8,6,0,,,,,,,,,,,,,,,11.96,30.1,31.8,15.6,10.3
Albury,2014-03-15,2013/2014,37,14,8,0,,,,,,,,,,,,,,,6.54,31.4,33.9,14.9,12.4
Albury,2014-03-22,2013/2014,38,9,2,0,,,,,,,,,,,,,,,2.28,27.3,31,12.2,8.7
Albury,2014-03-29,2013/2014,39,5,1,0,,,,,,,,,,,,,,,31.12,23.9,26.8,13.8,8.1
Albury,2014-04-05,2013/2014,40,11,0,0,,,,,,,,,,,,,,,21.34,24.1,27.8,14.7,12.4
Albury,2014-04-12,2013/2014,41,10,0,0,,,,,,,,,,,,,,,100.5,22.3,24.9,14.3,12.5
Albury,2014-04-19,2013/2014,42,8,0,0,,,,,,,,,,,,,,,1.65,22.1,23.7,9.5,7.1
Albury,2014-04-26,2013/2014,43,6,0,0,,,,,,,,,,,,,,,1.81,19.5,22,6.5,3.4
Albury,2014-05-03,2013/2014,44,4,0,0,,,,,,,,,,,,,,,15.54,19.3,22.1,8.4,5
Albury,2014-05-10,2013/2014,45,,,,,,,,,,,,,,,,,,5.96,15.2,17.3,5.8,2.1
Albury,2014-05-17,2013/2014,46,,,,,,,,,,,,,,,,,,14.67,17.8,19.9,6.8,4.6
Albury,2014-05-24,2013/2014,47,,,,,,,,,,,,,,,,,,4.16,19.4,20.2,9.2,6.3
Albury,2014-05-31,2013/2014,48,,,,,,,,,,,,,,,,,,37.04,17.6,21,9.6,7.3
Ballina,2013-11-02,2013/2014,18,,,,,,,,,,,,,,,,,,15.73,26.1,28.9,15.4,12.9
Ballina,2013-11-09,2013/2014,19,,,,,,,,,,,,,,,,,,0.38,26.7,32.9,14.9,12.8
Ballina,2013-11-16,2013/2014,20,184,4,3,,,,,,,,,,,,,,,63.4,27.9,30.9,17.5,15.1
Ballina,2013-11-23,2013/2014,21,340,2,26,,,,,,,,,,,,,,,19.79,25.7,27.1,15.5,11.9
Ballina,2013-11-30,2013/2014,22,411,3,27,,,,,,,,,,,,,,,33.2,27.9,33.4,17,13.7
Ballina,2013-12-07,2013/2014,23,159,4,3,,,,,,,,,,,,,,,45.33,25.8,32.2,15.8,14.3
Ballina,2013-12-14,2013/2014,24,66,0,12,,,,,,,,,,,,,,,19.17,27.8,30.8,17.2,12.1
Ballina,2013-12-21,2013/2014,25,196,2,3,,,,,,,,,,,,,,,1.34,27.3,28.5,17.6,14.1
Ballina,2013-12-28,2013/2014,26,,,,,,,,,,,,,,,,,,0.35,28.8,30.6,18.6,16
Ballina,2014-01-04,2013/2014,27,,,,,,,,,,,,,,,,,,7.76,29.8,34.8,19.6,17.6
Ballina,2014-01-11,2013/2014,28,153,2,6,,,,,,,,,,,,,,,15.72,28.6,37.3,20.8,17.7
Ballina,2014-01-18,2013/2014,29,536,0,6,,,,,,,,,,,,,,,9.19,28.4,29.3,18.3,16.4
Ballina,2014-01-25,2013/2014,30,934,2,45,,,,,,,,,,,,,,,43.85,29.3,33.4,19.7,16.7
Ballina,2014-02-01,2013/2014,31,208,0,2,,,,,,,,,,,,,,,14.06,27.1,28.1,19.6,18.8
Ballina,2014-02-08,2013/2014,32,239,0,12,,,,,,,,,,,,,,,17.16,26.8,28.6,17.7,16.7
Ballina,2014-02-15,2013/2014,33,222,0,9,,,,,,,,,,,,,,,3.06,28.6,29.7,18.4,16.9
Ballina,2014-02-22,2013/2014,34,293,0,18,,,,,,,,,,,,,,,2.06,30.7,34.5,22.5,20.9
Ballina,2014-03-01,2013/2014,35,,,,,,,,,,,,,,,,,,13.16,28.1,30.3,18.7,16.9
Ballina,2014-03-08,2013/2014,36,148,0,10,,,,,,,,,,,,,,,10.19,28.3,29.3,18,15.9
Ballina,2014-03-15,2013/2014,37,229,1,15,,,,,,,,,,,,,,,19.32,27.8,28.2,17.8,15.3
Ballina,2014-03-22,2013/2014,38,580,2,11,,1,,,,,,,,,,,,,28.93,28.9,34.4,19.4,16.1
Ballina,2014-03-29,2013/2014,39,148,0,8,,,,,,,,,,,,,,,140.61,26.7,28.7,18.7,17.1
Ballina,2014-04-05,2013/2014,40,190,0,0,,,,,,,,,,,,,,,23.91,27.6,30.2,18.9,16.4
Ballina,2014-04-12,2013/2014,41,536,0,36,,,,,,,,,,,,,,,34.64,26.3,29.9,17.5,15.3
Ballina,2014-04-19,2013/2014,42,1954,10,134,,,,,,,,,,,,,,,35.91,25,31.4,17,14.4
Ballina,2014-04-26,2013/2014,43,1842,21,316,,,,,,,,,,,,,,,0,27.3,28.4,14.3,13
Ballina,2014-05-03,2013/2014,44,333,7,2,,,,,,,,,,,,,,,66.32,23.7,25.6,15.7,13.2
Ballina,2014-05-10,2013/2014,45,49,0,3,,,,,,,,,,,,,,,36.36,20.4,21.8,10.7,8.6
Ballina,2014-05-17,2013/2014,46,129,0,3,,,,,,,,,,,,,,,31.5,22.6,24.8,12.8,11.6
Ballina,2014-05-24,2013/2014,47,,,,,,,,,,,,,,,,,,6.98,23.7,24.9,13.7,12.9
Ballina,2014-05-31,2013/2014,48,,,,,,,,,,,,,,,,,,2.53,24.9,27,14.1,12
Bankstown,2013-11-02,2013/2014,18,,,,,,,,,,,,,,,,,,0.55,24,26.2,13,10
Bankstown,2013-11-09,2013/2014,19,,,,,,,,,,,,,,,,,,0,28.7,36,12.5,8.6
Bankstown,2013-11-16,2013/2014,20,,,,,,,,,,,,,,,,,,56.52,24.9,33.6,15,13.2
Bankstown,2013-11-23,2013/2014,21,,,,,,,,,,,,,,,,,,78.85,23.3,27.4,15.4,13.9
Bankstown,2013-11-30,2013/2014,22,,,,,,,,,,,,,,,,,,23.12,24.4,31.6,14.8,11.8
Bankstown,2013-12-07,2013/2014,23,,,,,,,,,,,,,,,,,,8.42,25.4,31.6,13.9,11.6
Bankstown,2013-12-14,2013/2014,24,,,,,,,,,,,,,,,,,,0,29.5,33.9,16.3,10.7
Bankstown,2013-12-21,2013/2014,25,,,,,,,,,,,,,,,,,,2.22,28.4,39.3,17.3,16
Bankstown,2013-12-28,2013/2014,26,,,,,,,,,,,,,,,,,,22.42,27.8,36.4,19.2,16.1
Bankstown,2014-01-04,2013/2014,27,,,,,,,,,,,,,,,,,,0.25,28.4,35.9,18.1,15.3
Bankstown,2014-01-11,2013/2014,28,232,15,25,,,,,,,,,,,,,,,4.42,26.4,32,17.3,15.8
Bankstown,2014-01-18,2013/2014,29,428,0,130,,,,,,,,,,,,,,,0.1,30.9,33.1,17.9,16.5
Bankstown,2014-01-25,2013/2014,30,,,,,,,,,,,,,,,,,,4.8,27.3,34.2,18.7,16.9
Bankstown,2014-02-01,2013/2014,31,208,24,128,,,,,,,,,,,,,,,4.27,28.6,33.3,16.2,13.6
Bankstown,2014-02-08,2013/2014,32,135,11,102,,,,,,,,,,,,,,,1.37,27.3,30.3,18.1,12.2
Bankstown,2014-02-15,2013/2014,33,540,76,422,,,,,,,,,,,,,,,3.52,28.2,31.3,19.1,15.3
Bankstown,2014-02-22,2013/2014,34,50,2,44,,,,,1,,,,,,,,,,47.4,26.5,29.8,18.6,15.8
Bankstown,2014-03-01,2013/2014,35,68,18,42,,,,,,,,,,,,,,,6.07,26.3,33.5,18.1,17
Bankstown,2014-03-08,2013/2014,36,722,24,652,,1,,,,,,,,,,,,,25.05,26.1,30.8,17.3,15.6
Bankstown,2014-03-15,2013/2014,37,456,14,396,,,,,,,,,,,,,,,16.97,28.1,29.4,17.4,16.3
Bankstown,2014-03-22,2013/2014,38,194,2,156,,,,,,,,,,,,,,,14.3,28.3,30.5,16,12.2
Bankstown,2014-03-29,2013/2014,39,366,64,228,,,,,,,,,,,,,,,64.72,25.3,30.4,18,15.7
Bankstown,2014-04-05,2013/2014,40,360,44,100,,,,,,,,,,,,,,,6.37,26.5,29.2,17,15.3
Bankstown,2014-04-12,2013/2014,41,702,24,330,,,,,,,,,,,,,,,21.77,23.9,27,15.9,13.3
Bankstown,2014-04-19,2013/2014,42,,,,,,,,,,,,,,,,,,11.67,22.5,25.7,13.3,11.2
Bankstown,2014-04-26,2013/2014,43,,,,,,,,,,,,,,,,,,0.1,24.3,29,11.5,9.2
Bankstown,2014-05-03,2013/2014,44,242,14,54,,,,,,,,,,,,,,,4.57,22.5,26,12.7,9.2
Bankstown,2014-05-10,2013/2014,45,182,0,8,,,,,,,,,,,,,,,5.87,19.6,21.7,8.9,6.8
Bankstown,2014-05-17,2013/2014,46,222,4,18,,,,,,,,,,,,,,,0.77,23,24.8,10.2,7.9
Bankstown,2014-05-24,2013/2014,47,118,0,2,,,,,,,,,,,,,,,0.17,24.5,25.7,10.1,8.2
Bankstown,2014-05-31,2013/2014,48,,,,,,,,,,,,,,,,,,0.32,23.5,25.9,12.2,9.8
Blacktown,2013-11-02,2013/2014,18,68,4,0,,,,,,,,,,,,,,,0.56,25.8,28.1,12.2,8.5
Blacktown,2013-11-09,2013/2014,19,58,0,0,,,,,,,,,,,,,,,0,30.2,37.9,12.1,7.6
Blacktown,2013-11-16,2013/2014,20,55,2,0,,,,,,,,,,,,,,,55.12,25.5,34.5,14.7,12.4
Blacktown,2013-11-23,2013/2014,21,19,2,0,,,,,,,,,,,,,,,65.8,24.1,29.1,15,13.7
Blacktown,2013-11-30,2013/2014,22,27,0,1,,,,,,,,,,,,,,,21.57,25.9,35.1,14.4,11.2
Blacktown,2013-12-07,2013/2014,23,124,6,0,,,,,,,,,,,,,,,5.83,27.1,35.8,13.6,10.3
Blacktown,2013-12-14,2013/2014,24,113,30,0,,,,,,,,,,,,,,,0,30.6,34.7,15.5,10
Blacktown,2013-12-21,2013/2014,25,82,17,0,,,,,,,,,,,,,,,1.22,30.2,40.2,16.6,14.8
Blacktown,2013-12-28,2013/2014,26,,,,,,,,,,,,,,,,,,26.46,29.2,40.3,18.9,15
Blacktown,2014-01-04,2013/2014,27,,,,,,,,,,,,,,,,,,0.3,30,35.8,17.5,14.6
Blacktown,2014-01-11,2013/2014,28,29,6,0,,,,,,,,,,,,,,,2.37,27.3,32.5,16.8,15.3
Blacktown,2014-01-18,2013/2014,29,29,11,2,,,,,,,,,,,,,,,0,33.2,36.8,17.1,15.6
Blacktown,2014-01-25,2013/2014,30,5,2,0,,,,,,,,,,,,,,,16.07,28.2,38.2,18.6,16.3
Blacktown,2014-02-01,2013/2014,31,,,,,,,,,,,,,,,,,,3.28,30.4,36.8,15.3,12.4
Blacktown,2014-02-08,2013/2014,32,17,8,1,,,,,,,,,,,,,,,2.2,29.1,33.4,17.3,11.7
