location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,2006-10-14,2006/2007,15,,,,,,,,,,,,,,,,,,0,27.2,35.5,6.6,1.8
Albury,2006-10-21,2006/2007,16,,,,,,,,,,,,,,,,,,2.72,26,28.6,9.6,5.1
Albury,2006-10-28,2006/2007,17,,,,,,,,,,,,,,,,,,0.01,24.4,29.7,7.1,4.2
Albury,2006-11-04,2006/2007,18,,,,,,,,,,,,,,,,,,5.14,25.6,31.4,8.3,5
Albury,2006-11-11,2006/2007,19,,,,,,,,,,,,,,,,,,0,27.5,29.8,11,7.3
Albury,2006-11-18,2006/2007,20,0,0,0,,,,,,,,,,,,,,,31.44,21.9,30.4,8.8,3.5
Albury,2006-11-25,2006/2007,21,2,2,0,,,,,,,,,,,,,,,0,32.2,38.2,13,6.5
Albury,2006-12-02,2006/2007,22,4,3,0,,,,,,,,,,,,,,,0.03,33.3,36,14.1,11
Albury,2006-12-09,2006/2007,23,6,6,0,,,,,,,,,,,,,,,0.09,30.2,35.1,13.2,10.1
Albury,2006-12-16,2006/2007,24,5,3,0,,,,,,,,,,,,,,,0,32.5,40.3,15.2,11
Albury,2006-12-23,2006/2007,25,5,3,0,,,,,,,,,,,,,,,0.05,32.1,36.1,15.6,11.9
Albury,2006-12-30,2006/2007,26,,,,,,,,,,,,,,,,,,0.31,26.8,30.4,11.6,5.6
Albury,2007-01-06,2006/2007,27,8,8,0,,,,,,,,,,,,,,,3.29,32.1,34.8,16.8,14.8
Albury,2007-01-13,2006/2007,28,11,4,0,,,,,,,,,,,,,,,2.92,34.2,42,16.2,11.3
Albury,2007-01-20,2006/2007,29,4,2,0,,,,,,,,,,,,,,,4.03,34.9,39.4,20.9,17.2
