location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,1995-10-07,1995/1996,14,,,,,,,,,,,,,,,,,,3.37,19,25.3,8.5,3.5
Albury,1995-10-14,1995/1996,15,,,,,,,,,,,,,,,,,,13.87,20.4,24.7,7.7,3.4
Albury,1995-10-21,1995/1996,16,,,,,,,,,,,,,,,,,,0.95,22.2,30.9,8.7,4.3
Albury,1995-10-28,1995/1996,17,,,,,,,,,,,,,,,,,,76.41,20,23,7.8,5.8
Albury,1995-11-04,1995/1996,18,,,,,,,,,,,,,,,,,,5.86,22.5,24.6,10.4,7.8
Albury,1995-11-11,1995/1996,19,,,,,,,,,,,,,,,,,,43.52,19.6,24,11.3,8.6
Albury,1995-11-18,1995/1996,20,,,,,,,,,,,,,,,,,,17.52,22.6,26.8,10.1,7.2
Albury,1995-11-25,1995/1996,21,,,,,,,,,,,,,,,,,,20.37,21.6,22.9,11.8,7.5
Albury,1995-12-02,1995/1996,22,,,,,,,,,,,,,,,,,,23.87,26.3,29.1,11.5,5
Albury,1995-12-09,1995/1996,23,,,,,,,,,,,,,,,,,,11.78,24.1,30.1,10.8,6
Albury,1995-12-16,1995/1996,24,,,,,,,,,,,,,,,,,,1.3,25.2,32.3,10.3,5
Albury,1995-12-23,1995/1996,25,,,,,,,,,,,,,,,,,,1.77,24.8,32.4,11.8,8.4
Albury,1995-12-30,1995/1996,26,,,,,,,,,,,,,,,,,,0,28.3,31.9,10.1,7.9
Albury,1996-01-06,1995/1996,27,,,,,,,,,,,,,,,,,,48.99,28.8,35,16.5,13.8
Albury,1996-01-13,1995/1996,28,,,,,,,,,,,,,,,,,,9.57,30.1,31.3,17.2,15.2
Albury,1996-01-20,1995/1996,29,24,2,0,,,,,,,,,,,,,,,20.52,33,39,17.1,14.8
Albury,1996-01-27,1995/1996,30,25,8,0,,,,,,,,,,,,,,,24.73,25.9,30.7,12.5,9
Albury,1996-02-03,1995/1996,31,30,18,0,,,,,,,,,,,,,,,0,26.8,31.9,12.3,9
Albury,1996-02-10,1995/1996,32,82,54,0,,,,,,,,,,,,,,,1.33,27.1,32.8,12.7,6.9
Albury,1996-02-17,1995/1996,33,18,12,0,,,,,,,,,,,,,,,7.2,25.3,29.1,9.2,7.2
Albury,1996-02-24,1995/1996,34,31,20,0,,,,,,,,,,,,,,,0,30.4,33.1,13.1,10.7
Albury,1996-03-02,1995/1996,35,20,10,0,,,,,,,,,,,,,,,33.44,26.9,31.2,13.7,8.9
Albury,1996-03-09,1995/1996,36,9,3,0,,,,,,,,,,,,,,,11.21,27.9,31.2,13.1,10.7
