location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Ballina,1997-10-18,1997/1998,16,,,,,,,,,,,,,,,,,,0,27.1,30.5,15.3,12.2
Ballina,1997-10-25,1997/1998,17,,,,,,,,,,,,,,,,,,46.18,21.3,27.2,13.3,12.2
Ballina,1997-11-01,1997/1998,18,,,,,,,,,,,,,,,,,,10.68,24.7,26.1,15.2,13.2
Ballina,1997-11-08,1997/1998,19,,,,,,,,,,,,,,,,,,24.78,24,26.4,17.4,15.1
Ballina,1997-11-15,1997/1998,20,,,,,,,,,,,,,,,,,,9.01,28,33.4,18.3,16
Ballina,1997-11-22,1997/1998,21,145,2,16,,,,,,,,,,,,,,,32.93,26.5,31.6,18.2,15.2
Ballina,1997-11-29,1997/1998,22,90,0,8,,,,,,,,,,,,,,,0.51,27.6,31,17.3,15.7
Ballina,1997-12-06,1997/1998,23,296,19,50,,,,,,,,,,,,,,,27.26,28.6,32.7,20.1,17.4
Ballina,1997-12-13,1997/1998,24,198,4,34,,,,,,,,,,,,,,,8.34,27,32.7,20.1,18
Ballina,1997-12-20,1997/1998,25,186,6,37,,,,,,,,,,,,,,,18,31.1,33.9,20.4,16.5
Ballina,1997-12-27,1997/1998,26,,,,,,,,,,,,,,,,,,42.83,30.4,34,22,19.7
Ballina,1998-01-03,1997/1998,27,,,,,,,,,,,,,,,,,,11.71,27.6,31.6,18.9,15.8
Ballina,1998-01-10,1997/1998,28,98,0,14,,,,,,,,,,,,,,,9.89,27.4,28.8,18.5,16.8
Ballina,1998-01-17,1997/1998,29,104,0,10,,,,,,,,,,,,,,,12.63,27.6,29.1,20.9,20
Ballina,1998-01-24,1997/1998,30,34,0,6,,,,,,,,,,,,,,,7.23,29,31.4,20.5,19.3
Ballina,1998-01-31,1997/1998,31,87,1,16,,,,,,,,,,,,,,,1.06,31.2,32.7,21.7,19.5
Ballina,1998-02-07,1997/1998,32,34,0,6,,,,,,,,,,,,,,,37.91,29.1,31.5,20.5,19.7
Ballina,1998-02-14,1997/1998,33,417,24,169,,,,,,,,,,,,,,,85.31,28.4,32.6,21.1,19.1
Ballina,1998-02-21,1997/1998,34,327,18,222,,,,,,,,,,,,,,,4.95,29.7,34.3,20.6,17.5
Ballina,1998-02-28,1997/1998,35,148,0,52,,,,,,,,,,,,,,,0.73,28.7,30.4,20.2,16.4
Ballina,1998-03-07,1997/1998,36,100,0,28,,,,,,,,,,,,,,,21.91,29.3,33.6,18.6,17
Ballina,1998-03-14,1997/1998,37,36,0,6,,,,,,,,,,,,,,,1.11,26.8,28.3,17.7,15.1
Ballina,1998-03-21,1997/1998,38,34,0,11,,,,,,,,,,,,,,,2.97,30,32.8,20.3,15.4
Ballina,1998-03-28,1997/1998,39,284,0,12,,,,,,,,,,,,,,,2.39,28.6,30,18.6,16.1
Ballina,1998-04-04,1997/1998,40,,,,,,,,,,,,,,,,,,37.05,29,33.1,19.8,17.8
