location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,1996-10-05,1996/1997,14,,,,,,,,,,,,,,,,,,52.56,17.9,22.4,8.1,2
Albury,1996-10-12,1996/1997,15,,,,,,,,,,,,,,,,,,12.11,22.3,30.3,9.7,6.7
Albury,1996-10-19,1996/1997,16,,,,,,,,,,,,,,,,,,22.28,20.4,23.5,7.8,5.3
Albury,1996-10-26,1996/1997,17,,,,,,,,,,,,,,,,,,1.38,21.8,27.1,7.7,4
Albury,1996-11-02,1996/1997,18,,,,,,,,,,,,,,,,,,0.11,21.9,23.6,8,6
Albury,1996-11-09,1996/1997,19,,,,,,,,,,,,,,,,,,31.79,21.6,25.3,11.1,8.1
Albury,1996-11-16,1996/1997,20,,,,,,,,,,,,,,,,,,0.01,21.4,31,9.6,5.2
Albury,1996-11-23,1996/1997,21,,,,,,,,,,,,,,,,,,12.97,20.5,25.7,7.6,4.2
Albury,1996-11-30,1996/1997,22,,,,,,,,,,,,,,,,,,0,25.4,29.7,8.1,4.9
Albury,1996-12-07,1996/1997,23,10,4,0,,,,,,,,,,,,,,,1.52,23.6,27.8,9.3,7.1
Albury,1996-12-14,1996/1997,24,40,34,0,,,,,,,,,,,,,,,8.12,24.4,27.1,8.9,6.2
Albury,1996-12-21,1996/1997,25,78,68,0,,,,,,,,,,,,,,,0,27.6,32.1,11.5,9.4
Albury,1996-12-28,1996/1997,26,,,,,,,,,,,,,,,,,,6.92,31.3,37.6,15.7,9.2
Albury,1997-01-04,1996/1997,27,,,,,,,,,,,,,,,,,,4.34,29.6,33,13.3,10.9
Albury,1997-01-11,1996/1997,28,,,,,,,,,,,,,,,,,,10.4,30.4,35.2,14,9.1
Albury,1997-01-18,1996/1997,29,66,60,0,,,,,,,,,,,,,,,7.94,29.3,31.8,14.3,12.8
Albury,1997-01-25,1996/1997,30,,,,,,,,,,,,,,,,,,0.01,34.6,37.8,17.1,13.4
Albury,1997-02-01,1996/1997,31,40,32,0,,,,,,,,,,,,,,,23.34,31.8,34,18.9,17.6
Albury,1997-02-08,1996/1997,32,,,,,,,,,,,,,,,,,,0,35.4,37.4,19.4,17.4
Albury,1997-02-15,1996/1997,33,10,7,0,,,,,,,,,,,,,,,9.93,31.9,35.6,19.1,12.9
Albury,1997-02-22,1996/1997,34,27,10,0,,,,,,,,,,,,,,,0,36.4,37.6,20.2,18.6
Albury,1997-03-01,1996/1997,35,17,4,0,,,,,,,,,,,,,,,0.8,33,38.4,16.3,11.1
Albury,1997-03-08,1996/1997,36,,,,,,,,,,,,,,,,,,33.07,28.8,33.5,16.7,14.3
Albury,1997-03-15,1996/1997,37,14,6,0,,,,,,,,,,,,,,,0.02,27.7,31.2,12.9,6.1
Albury,1997-03-22,1996/1997,38,,,,,,,,,,,,,,,,,,0.05,25.3,27.7,9.8,7.7
Albury,1997-03-29,1996/1997,39,,,,,,,,,,,,,,,,,,0.34,24.7,31,8.6,4.9
Albury,1997-04-05,1996/1997,40,,,,,,,,,,,,,,,,,,6.02,22.2,24.1,6.3,4.7
Albury,1997-04-12,1996/1997,41,,,,,,,,,,,,,,,,,,0,20.6,24.5,5.8,1.7
Albury,1997-04-19,1996/1997,42,,,,,,,,,,,,,,,,,,0,25.1,27.5,6.6,5.7
Albury,1997-04-26,1996/1997,43,,,,,,,,,,,,,,,,,,0.12,23.3,26.3,8.4,4.7
Albury,1997-05-03,1996/1997,44,,,,,,,,,,,,,,,,,,0,24.6,26.7,7.3,3.6
Albury,1997-05-10,1996/1997,45,,,,,,,,,,,,,,,,,,28.56,19.2,24.9,9.5,2
Albury,1997-05-17,1996/1997,46,,,,,,,,,,,,,,,,,,0.05,17.7,18.6,4,2
Albury,1997-05-24,1996/1997,47,,,,,,,,,,,,,,,,,,33.74,16.1,17.1,9.1,4.5
Albury,1997-05-31,1996/1997,48,,,,,,,,,,,,,,,,,,18.3,15.2,18.5,6,1.6
Ballina,1996-10-05,1996/1997,14,,,,,,,,,,,,,,,,,,27.78,24.1,26.1,14,7.7
Ballina,1996-10-12,1996/1997,15,,,,,,,,,,,,,,,,,,4.78,24.7,29.4,14.3,9.6
Ballina,1996-10-19,1996/1997,16,,,,,,,,,,,,,,,,,,0.32,25,30.3,14.1,10.4
Ballina,1996-10-26,1996/1997,17,,,,,,,,,,,,,,,,,,33.74,23.5,28.8,14.3,12
Ballina,1996-11-02,1996/1997,18,,,,,,,,,,,,,,,,,,4.22,25,28.2,14.4,10.7
Ballina,1996-11-09,1996/1997,19,,,,,,,,,,,,,,,,,,69.92,22.9,24.6,14.5,13.1
Ballina,1996-11-16,1996/1997,20,,,,,,,,,,,,,,,,,,8.31,29.5,36.5,15.5,13.5
Ballina,1996-11-23,1996/1997,21,,,,,,,,,,,,,,,,,,36.89,26.7,32,18.1,15.5
Ballina,1996-11-30,1996/1997,22,322,19,72,,,,,,,,,,,,,,,63.39,28.3,35.8,16.5,13.9
Ballina,1996-12-07,1996/1997,23,245,25,74,,,,,,,,,,,,,,,26.77,29.6,33.4,19.8,16.8
Ballina,1996-12-14,1996/1997,24,79,4,3,,,,,,,,,,,,,,,39.18,24.9,26.8,18.9,17.6
Ballina,1996-12-21,1996/1997,25,140,5,11,,,,,,,,,,,,,,,43.21,25.6,28,16.9,13.9
Ballina,1996-12-28,1996/1997,26,,,,,,,,,,,,,,,,,,9.47,25.6,27.3,17.1,14.9
Ballina,1997-01-04,1996/1997,27,,,,,,,,,,,,,,,,,,55.56,25.9,28.5,17.5,16.1
Ballina,1997-01-11,1996/1997,28,48,2,3,,,,,,,,,,,,,,,5.84,25.7,28,18.1,16.8
Ballina,1997-01-18,1996/1997,29,132,1,3,,,,,,,,,,,,,,,17.36,25.7,28,16.4,13.4
Ballina,1997-01-25,1996/1997,30,131,1,5,,,,,,,,,,,,,,,4.46,26,27.6,18.1,16.4
Ballina,1997-02-01,1996/1997,31,109,2,6,,,,,,,,,,,,,,,101.77,26.6,28.5,21.2,19.3
Ballina,1997-02-08,1996/1997,32,166,1,21,,,,,,,,,,,,,,,3.76,26.2,29.4,18.3,15.9
Ballina,1997-02-15,1996/1997,33,139,1,40,,,,,,,,,,,,,,,21.37,30.2,33.9,20.4,17.2
Ballina,1997-02-22,1996/1997,34,140,2,18,,,,,,,,,,,,,,,85.27,27.1,28.8,20.8,17.2
Ballina,1997-03-01,1996/1997,35,586,1,54,,,,,,,,,,,,,,,61.91,30.2,35,21.2,17.4
Ballina,1997-03-08,1996/1997,36,198,7,22,,,,,,,,,,,,,,,37.74,27.8,30,20.1,18.1
Ballina,1997-03-15,1996/1997,37,296,3,34,,,,,,,,,,,,,,,16.77,26.2,26.6,18.6,16.3
Ballina,1997-03-22,1996/1997,38,246,2,13,,,,,,,,,,,,,,,0.01,27.9,29.4,18.4,17.2
Ballina,1997-03-29,1996/1997,39,174,5,16,,,,,,,,,,,,,,,29.86,26.7,28.8,17.7,15.2
Ballina,1997-04-05,1996/1997,40,,,,,,,,,,,,,,,,,,10.03,26.9,28.8,16.4,14
Ballina,1997-04-12,1996/1997,41,81,0,5,,,,,,,,,,,,,,,4.18,25,28.4,15.2,13.9
Ballina,1997-04-19,1996/1997,42,76,2,5,,,,,,,,,,,,,,,25.88,24.9,29,14.2,12.3
Ballina,1997-04-26,1996/1997,43,,,,,,,,,,,,,,,,,,18.21,24.9,25.8,14.1,12.6
Ballina,1997-05-03,1996/1997,44,40,0,9,,,,,,,,,,,,,,,51.2,22.9,24.2,14.1,12.1
Ballina,1997-05-10,1996/1997,45,,,,,,,,,,,,,,,,,,107.78,21.8,24.1,16.7,14.1
Ballina,1997-05-17,1996/1997,46,,,,,,,,,,,,,,,,,,31.14,21.2,23.5,13.1,9.2
Ballina,1997-05-24,1996/1997,47,,,,,,,,,,,,,,,,,,28.83,20.5,21.5,13.1,11.2
Ballina,1997-05-31,1996/1997,48,164,1,2,,,,,,,,,,,,,,,29.32,22.7,25.3,11,8.6
Batemans Bay,1996-10-05,1996/1997,14,,,,,,,,,,,,,,,,,,28.36,18.2,20.7,8.6,5.2
Batemans Bay,1996-10-12,1996/1997,15,,,,,,,,,,,,,,,,,,19.69,21.4,30.4,9.9,7.1
Batemans Bay,1996-10-19,1996/1997,16,,,,,,,,,,,,,,,,,,13.66,20,24.8,9.4,6
Batemans Bay,1996-10-26,1996/1997,17,,,,,,,,,,,,,,,,,,5.71,19.6,23.5,7,3.3
Batemans Bay,1996-11-02,1996/1997,18,,,,,,,,,,,,,,,,,,1.88,18.4,20.8,9.2,7.7
Batemans Bay,1996-11-09,1996/1997,19,,,,,,,,,,,,,,,,,,50.77,17.4,22.8,9.6,7
Batemans Bay,1996-11-16,1996/1997,20,,,,,,,,,,,,,,,,,,12.65,21.9,31.5,9.2,4.6
Batemans Bay,1996-11-23,1996/1997,21,,,,,,,,,,,,,,,,,,22.7,19,24.3,9.3,4.3
Batemans Bay,1996-11-30,1996/1997,22,,,,,,,,,,,,,,,,,,5.71,22.4,27.4,9.9,3.9
Batemans Bay,1996-12-07,1996/1997,23,,,,,,,,,,,,,,,,,,4.28,21.4,23.5,11.6,7.9
Batemans Bay,1996-12-14,1996/1997,24,,,,,,,,,,,,,,,,,,31.25,21,23.8,11.4,8.1
Batemans Bay,1996-12-21,1996/1997,25,,,,,,,,,,,,,,,,,,5.08,21.9,29.3,10.9,7.9
Batemans Bay,1996-12-28,1996/1997,26,,,,,,,,,,,,,,,,,,27.36,25,29.7,13.7,10.2
Batemans Bay,1997-01-04,1996/1997,27,,,,,,,,,,,,,,,,,,6.59,21.1,24.3,11.4,8.9
Batemans Bay,1997-01-11,1996/1997,28,98,2,52,,,,,,,,,,,,,,,26.38,23.8,30.7,12,9.6
Batemans Bay,1997-01-18,1996/1997,29,70,0,18,,,,,,,,,,,,,,,2.32,21.8,24.5,11.8,7.9
Batemans Bay,1997-01-25,1996/1997,30,185,2,144,,,,,,,,,,,,,,,0.48,25.7,32.1,14.5,12.3
Batemans Bay,1997-02-01,1996/1997,31,,,,,,,,,,,,,,,,,,30.44,22.9,26.1,15.6,14.1
Batemans Bay,1997-02-08,1996/1997,32,204,1,160,,1,,,,,,,,,,,,,3.59,25.1,28,14.2,11.1
Batemans Bay,1997-02-15,1996/1997,33,40,2,37,,,,,,,,,,,,,,,54.02,23.7,29.4,16.9,14.9
Batemans Bay,1997-02-22,1996/1997,34,48,0,32,,,,,,,,,,,,,,,4.72,27.1,30.7,16,12.9
Batemans Bay,1997-03-01,1996/1997,35,339,0,324,,1,,,,,,,,,,,,,5.1,25,29.2,16.3,14.4
Batemans Bay,1997-03-08,1996/1997,36,100,2,81,,,,,,,,,,,,,,,86.53,23.1,30.2,14.9,12.5
Batemans Bay,1997-03-15,1996/1997,37,51,0,44,,,,,,,,,,,,,,,15.89,23,27,13.2,11
Batemans Bay,1997-03-22,1996/1997,38,12,0,9,,,,,,,,,,,,,,,2.41,23.9,30.1,12.8,10.7
Batemans Bay,1997-03-29,1996/1997,39,199,2,164,,1,,,,,,,,,,,,,6.47,23.1,27.5,11,9.8
Batemans Bay,1997-04-05,1996/1997,40,,,,,,,,,,,,,,,,,,3.44,21.3,23.4,10.3,6.4
Batemans Bay,1997-04-12,1996/1997,41,19,0,12,,,,,,,,,,,,,,,0.12,20.4,24,7.8,3.4
Batemans Bay,1997-04-19,1996/1997,42,,,,,,,,,,,,,,,,,,0.11,22.3,24,10.1,7.7
Batemans Bay,1997-04-26,1996/1997,43,,,,,,,,,,,,,,,,,,1.14,20.1,22.1,10.2,7.9
Batemans Bay,1997-05-03,1996/1997,44,,,,,,,,,,,,,,,,,,0.01,22.8,24.5,6.4,5
Batemans Bay,1997-05-10,1996/1997,45,,,,,,,,,,,,,,,,,,0.73,19.5,22.9,9.1,1.7
Batemans Bay,1997-05-17,1996/1997,46,,,,,,,,,,,,,,,,,,10.32,16.4,17.5,7.3,4.8
Batemans Bay,1997-05-24,1996/1997,47,,,,,,,,,,,,,,,,,,34.85,15.6,17,9.9,7.6
Batemans Bay,1997-05-31,1996/1997,48,,,,,,,,,,,,,,,,,,0.67,17.6,19.3,5.8,3.5
Bourke,1996-10-05,1996/1997,14,,,,,,,,,,,,,,,,,,23.56,23.8,28,11.7,6.7
Bourke,1996-10-12,1996/1997,15,,,,,,,,,,,,,,,,,,9.07,28.3,35.5,14.5,10.8
Bourke,1996-10-19,1996/1997,16,,,,,,,,,,,,,,,,,,17.82,28.2,32.9,14.6,10.1
Bourke,1996-10-26,1996/1997,17,,,,,,,,,,,,,,,,,,0.14,29,33.8,13,7.9
Bourke,1996-11-02,1996/1997,18,,,,,,,,,,,,,,,,,,0.09,31.6,33.8,15.6,12.4
Bourke,1996-11-09,1996/1997,19,,,,,,,,,,,,,,,,,,11.99,27.8,31.7,15.2,11.6
Bourke,1996-11-16,1996/1997,20,,,,,,,,,,,,,,,,,,0.04,32.9,38.4,15.6,10.1
Bourke,1996-11-23,1996/1997,21,,,,,,,,,,,,,,,,,,1.33,29.3,38.8,16,10
Bourke,1996-11-30,1996/1997,22,,,,,,,,,,,,,,,,,,0.01,34.5,40.5,15.4,9.2
Bourke,1996-12-07,1996/1997,23,,,,,,,,,,,,,,,,,,5.36,36.6,38.3,20.7,14.8
Bourke,1996-12-14,1996/1997,24,,,,,,,,,,,,,,,,,,9.87,32.4,36.2,15.8,14.1
Bourke,1996-12-21,1996/1997,25,,,,,,,,,,,,,,,,,,6.75,33.5,38.6,19.5,15.2
Bourke,1996-12-28,1996/1997,26,,,,,,,,,,,,,,,,,,0.03,37.7,41.1,23,16.8
Bourke,1997-01-04,1996/1997,27,,,,,,,,,,,,,,,,,,4.6,35.6,38.4,20.5,16.6
Bourke,1997-01-11,1996/1997,28,90,44,0,,,,,,,,,,,,,,,1.2,34,37.6,19.1,14.8
