location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,1998-10-10,1998/1999,15,,,,,,,,,,,,,,,,,,22.51,16.3,19.5,6.8,1.1
Albury,1998-10-17,1998/1999,16,,,,,,,,,,,,,,,,,,5.74,18.7,22.4,5.5,3.9
Albury,1998-10-24,1998/1999,17,,,,,,,,,,,,,,,,,,10.5,18.3,25.7,8.1,3.9
Albury,1998-10-31,1998/1999,18,,,,,,,,,,,,,,,,,,0.38,20.7,26.6,7.4,1.4
Albury,1998-11-07,1998/1999,19,,,,,,,,,,,,,,,,,,2.21,23.3,26.3,8.9,5
Albury,1998-11-14,1998/1999,20,54,40,0,,,,,,,,,,,,,,,71.25,24.1,31.1,11.7,7.2
Albury,1998-11-21,1998/1999,21,178,76,0,,,,,,,,,,,,,,,1.82,23.9,27.6,9.7,7.4
Albury,1998-11-28,1998/1999,22,104,73,0,,,,,,,,,,,,,,,1.22,24,27.1,11,9
Albury,1998-12-05,1998/1999,23,,,,,,,,,,,,,,,,,,8.67,25.4,32.4,10.1,6
Albury,1998-12-12,1998/1999,24,134,109,0,,,,,,,,,,,,,,,0,29.9,37.3,12.2,8.5
Albury,1998-12-19,1998/1999,25,22,1,0,,,,,,,,,,,,,,,13.5,31,35.6,17.3,14
Albury,1998-12-26,1998/1999,26,77,68,0,,,,,,,,,,,,,,,1.4,30.8,36.4,14.1,9.3
Albury,1999-01-02,1998/1999,27,,,,,,,,,,,,,,,,,,1.16,29,33.9,13.1,7.8
Albury,1999-01-09,1998/1999,28,,,,,,,,,,,,,,,,,,8.05,37,41.4,21.1,18.3
Albury,1999-01-16,1998/1999,29,44,38,0,,,,,,,,,,,,,,,1.97,34.3,36.6,18.4,16.7
Albury,1999-01-23,1998/1999,30,,,,,,,,,,,,,,,,,,11.7,35,39.9,19.9,15.6
Albury,1999-01-30,1998/1999,31,,,,,,,,,,,,,,,,,,34.42,31.6,34,18.2,15.9
Albury,1999-02-06,1998/1999,32,142,134,0,,,,,,,,,,,,,,,0,32.2,34,17.9,16.8
Albury,1999-02-13,1998/1999,33,98,80,0,,,,,,,,,,,,,,,0.05,30.3,33.4,16.5,10.9
Albury,1999-02-20,1998/1999,34,16,14,0,,,,,,,,,,,,,,,1.07,30.1,37.1,15.1,7.7
Albury,1999-02-27,1998/1999,35,30,30,0,,,,,,,,,,,,,,,3.51,30.4,33,14.5,9
Albury,1999-03-06,1998/1999,36,34,28,0,,,,,,,,,,,,,,,33.2,30.9,32.2,16.3,12.3
Albury,1999-03-13,1998/1999,37,20,19,0,,,,,,,,,,,,,,,14.25,30,33.7,15.6,11.7
Albury,1999-03-20,1998/1999,38,,,,,,,,,,,,,,,,,,0.44,26.8,30.2,12.4,9
Albury,1999-03-27,1998/1999,39,,,,,,,,,,,,,,,,,,36.91,23.7,26.4,14.9,8.3
Albury,1999-04-03,1998/1999,40,,,,,,,,,,,,,,,,,,23.58,20.4,23.8,9.4,5
Albury,1999-04-10,1998/1999,41,,,,,,,,,,,,,,,,,,19.44,21.5,24.8,9.2,5.1
Albury,1999-04-17,1998/1999,42,,,,,,,,,,,,,,,,,,0,23.4,24.7,8.5,6
Albury,1999-04-24,1998/1999,43,,,,,,,,,,,,,,,,,,0.3,20.1,22.7,5,1.3
Albury,1999-05-01,1998/1999,44,,,,,,,,,,,,,,,,,,1.29,18.4,19.8,3.4,0.8
Albury,1999-05-08,1998/1999,45,,,,,,,,,,,,,,,,,,0,20.6,22.7,3.9,0.6
Albury,1999-05-15,1998/1999,46,,,,,,,,,,,,,,,,,,2.23,17.7,20.9,4.8,1
Albury,1999-05-22,1998/1999,47,,,,,,,,,,,,,,,,,,11.2,15.9,20.1,4,-2.3
Albury,1999-05-29,1998/1999,48,,,,,,,,,,,,,,,,,,48.07,16.8,20.7,9.3,0.9
Albury,1999-06-05,1998/1999,49,,,,,,,,,,,,,,,,,,32.97,15.2,17,5.3,2.9
Ballina,1998-10-10,1998/1999,15,,,,,,,,,,,,,,,,,,4.11,25.1,29.7,14.7,10.2
Ballina,1998-10-17,1998/1999,16,,,,,,,,,,,,,,,,,,5.12,24.3,28.4,13.8,9.4
Ballina,1998-10-24,1998/1999,17,,,,,,,,,,,,,,,,,,1.85,25.7,31.8,15.1,11.1
Ballina,1998-10-31,1998/1999,18,,,,,,,,,,,,,,,,,,19.58,24.8,31.6,16,10.8
Ballina,1998-11-07,1998/1999,19,,,,,,,,,,,,,,,,,,14.68,22.5,25.7,14.4,11.3
Ballina,1998-11-14,1998/1999,20,78,1,2,,,,,,,,,,,,,,,14.52,24.4,27.4,17.5,13.7
Ballina,1998-11-21,1998/1999,21,,,,,,,,,,,,,,,,,,89.7,23.8,25.6,16.6,12.6
Ballina,1998-11-28,1998/1999,22,133,3,6,,,,,,,,,,,,,,,56.87,24.8,29.4,16,12.3
Ballina,1998-12-05,1998/1999,23,66,0,4,,,,,,,,,,,,,,,26.42,25.9,31.9,15.3,14.2
Ballina,1998-12-12,1998/1999,24,72,0,3,,,,,,,,,,,,,,,4.49,26.8,28.4,18.4,16.6
Ballina,1998-12-19,1998/1999,25,38,0,1,,,,,,,,,,,,,,,0.13,27.9,30.4,19,17
Ballina,1998-12-26,1998/1999,26,63,6,3,,,,,,,,,,,,,,,74.6,25.7,27.7,19.6,17.2
Ballina,1999-01-02,1998/1999,27,,,,,,,,,,,,,,,,,,30.52,28.5,36.7,19.6,17.6
Ballina,1999-01-09,1998/1999,28,92,3,2,,,,,,,,,,,,,,,50.37,27.1,28.5,19.1,18.1
Ballina,1999-01-16,1998/1999,29,119,3,10,,,,,,,,,,,,,,,27.65,28.5,30.5,20.5,19.6
Ballina,1999-01-23,1998/1999,30,40,1,0,,,,,,,,,,,,,,,4.95,27.6,28.4,19.7,18.3
Ballina,1999-01-30,1998/1999,31,13,0,0,,,,,,,,,,,,,,,29.61,27.9,29.6,20,18.1
Ballina,1999-02-06,1998/1999,32,181,10,12,,,,,,,,,,,,,,,111.37,26.5,30.7,20,18.6
Ballina,1999-02-13,1998/1999,33,192,4,2,,,,,,,,,,,,,,,78.71,26.9,28.2,21.1,19.7
Ballina,1999-02-20,1998/1999,34,248,8,6,,,,,,,,,,,,,,,18.82,29.3,34.4,21.3,20.2
Ballina,1999-02-27,1998/1999,35,413,18,10,,,,,,,,,,,,,,,44.46,25.3,26.2,18.4,17.5
Ballina,1999-03-06,1998/1999,36,724,164,41,,,,,,,,,,,,,,,333.92,26.7,31.6,20.5,19.4
Ballina,1999-03-13,1998/1999,37,704,126,29,,,,,,,,,,,,,,,73.56,26.9,30.8,19,18.1
Ballina,1999-03-20,1998/1999,38,214,29,5,,,,,,,,,,,,,,,9.54,27.3,28.8,19.4,18.3
Ballina,1999-03-27,1998/1999,39,708,96,4,,,,,,,,,,,,,,,114.62,26.4,31.8,18.9,17.1
Ballina,1999-04-03,1998/1999,40,603,21,7,,,,,,,,,,,,,,,4.41,25.9,28.5,17.7,16.2
Ballina,1999-04-10,1998/1999,41,548,17,0,,,,,,,,,,,,,,,107.9,23.9,26.1,18.1,16
Ballina,1999-04-17,1998/1999,42,112,2,10,,,,,,,,,,,,,,,123.14,23.2,24.5,15.1,13.7
Ballina,1999-04-24,1998/1999,43,334,8,9,,,,,,,,,,,,,,,10.45,23.3,26.5,14.6,11.5
Ballina,1999-05-01,1998/1999,44,97,0,2,,,,,,,,,,,,,,,0.48,23.3,24.9,11.8,8.3
Ballina,1999-05-08,1998/1999,45,,,,,,,,,,,,,,,,,,60.24,21.8,23.2,14.9,13.7
Ballina,1999-05-15,1998/1999,46,,,,,,,,,,,,,,,,,,79.37,21.9,24,15,13.7
Ballina,1999-05-22,1998/1999,47,44,0,2,,,,,,,,,,,,,,,58.44,21.7,23.9,13.7,10.1
Ballina,1999-05-29,1998/1999,48,,,,,,,,,,,,,,,,,,17.68,23.3,24.5,15.5,13.6
Ballina,1999-06-05,1998/1999,49,,,,,,,,,,,,,,,,,,39.76,21.9,27.1,13.3,11.3
Batemans Bay,1998-10-10,1998/1999,15,,,,,,,,,,,,,,,,,,13.24,18.7,27.4,8.2,1.7
Batemans Bay,1998-10-17,1998/1999,16,,,,,,,,,,,,,,,,,,4.32,18.7,20.4,6.4,3.1
Batemans Bay,1998-10-24,1998/1999,17,,,,,,,,,,,,,,,,,,3.66,20.8,27.2,8.6,5.1
Batemans Bay,1998-10-31,1998/1999,18,,,,,,,,,,,,,,,,,,13.15,20.9,28.3,8.6,4.4
Batemans Bay,1998-11-07,1998/1999,19,,,,,,,,,,,,,,,,,,8.73,19.1,24.1,8.4,4.8
Batemans Bay,1998-11-14,1998/1999,20,,,,,,,,,,,,,,,,,,74.88,20.8,24.7,13.1,10.6
Batemans Bay,1998-11-21,1998/1999,21,,,,,,,,,,,,,,,,,,16.43,18.4,23,10.7,7
Batemans Bay,1998-11-28,1998/1999,22,,,,,,,,,,,,,,,,,,20.55,19.9,21.7,10.7,10.1
Batemans Bay,1998-12-05,1998/1999,23,,,,,,,,,,,,,,,,,,4.57,21.7,28.4,10.6,8.5
Batemans Bay,1998-12-12,1998/1999,24,79,2,16,,,,,,,,,,,,,,,5.17,23.7,29.6,12.8,8.6
Batemans Bay,1998-12-19,1998/1999,25,7,0,2,,,,,,,,,,,,,,,53.35,24.1,30.4,16.1,13
Batemans Bay,1998-12-26,1998/1999,26,,,,,,,,,,,,,,,,,,1.94,24.5,26.7,14.3,11.9
Batemans Bay,1999-01-02,1998/1999,27,,,,,,,,,,,,,,,,,,14.24,24.7,27.2,14.3,10.5
Batemans Bay,1999-01-09,1998/1999,28,,,,,,,,,,,,,,,,,,5.37,28.8,31.1,17,15.1
Batemans Bay,1999-01-16,1998/1999,29,460,2,292,,1,,,,,,,,,,,,,36.72,25.4,29,16.6,14.4
Batemans Bay,1999-01-23,1998/1999,30,409,0,295,,1,,,,,,,,,,,,,40.95,25.7,30.7,16,14.6
Batemans Bay,1999-01-30,1998/1999,31,,,,,,,,,,,,,,,,,,137.58,24,25.9,16.5,15.8
Batemans Bay,1999-02-06,1998/1999,32,80,2,46,,1,,,,,,,,,,,,,35.46,24,25.3,15.4,15
Batemans Bay,1999-02-13,1998/1999,33,174,2,112,,,,,,,,,,,,,,,24.01,23.9,27,15.1,12.6
Batemans Bay,1999-02-20,1998/1999,34,15,1,12,,,,,,,,,,,,,,,16.74,25.8,29.7,15.1,9.7
Batemans Bay,1999-02-27,1998/1999,35,45,5,25,,,,,,,,,,,,,,,20.11,24.1,26.1,13.8,10.8
Batemans Bay,1999-03-06,1998/1999,36,22,1,13,,,,,,,,,,,,,,,34.28,24.7,27.4,16.3,14.9
