location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,2009-10-24,2009/2010,17,,,,,,,,,,,,,,,,,,0,23.7,27.2,6.9,4.7
Albury,2009-10-31,2009/2010,18,,,,,,,,,,,,,,,,,,0.03,25.3,29,10.6,6.3
Albury,2009-11-07,2009/2010,19,,,,,,,,,,,,,,,,,,0.18,28.1,33.4,13.7,6.2
Albury,2009-11-14,2009/2010,20,22,0,0,,,,,,,,,,,,,,,0,33.2,35.9,14.8,11.3
Albury,2009-11-21,2009/2010,21,24,4,0,,,,,,,,,,,,,,,0,34.9,39.2,14.7,11.1
Albury,2009-11-28,2009/2010,22,15,7,0,,,,,,,,,,,,,,,49.82,27.2,34.3,16.3,11.1
Albury,2009-12-05,2009/2010,23,8,2,0,,,,,,,,,,,,,,,14.73,25.6,31,12.3,10.5
Albury,2009-12-12,2009/2010,24,38,22,1,,,,,,,,,,,,,,,2.44,26.7,31.7,11.6,8.7
Albury,2009-12-19,2009/2010,25,34,21,0,,,,,,,,,,,,,,,4.62,32.2,39.4,12,7.7
Albury,2009-12-26,2009/2010,26,64,50,0,,,,,,,,,,,,,,,10.96,32.9,38,15.3,10.3
Albury,2010-01-02,2009/2010,27,,,,,,,,,,,,,,,,,,7.06,32.9,36.6,18.9,17
Albury,2010-01-09,2009/2010,28,116,88,0,,,,,,,,,,,,,,,11.18,32.5,35.6,15.5,11.9
Albury,2010-01-16,2009/2010,29,158,135,0,,,,,,,,,,,,,,,4.44,37.1,41.8,20,15.4
Albury,2010-01-23,2009/2010,30,16,14,0,,,,,,,,,,,,,,,0,31.1,41,14.4,8.2
Albury,2010-01-30,2009/2010,31,,,,,,,,,,,,,,,,,,0,34.9,36,16.2,13.5
Albury,2010-02-06,2009/2010,32,114,82,0,,,,,,,,,,,,,,,50.88,33.9,37.7,19.9,17.3
Albury,2010-02-13,2009/2010,33,212,169,0,,,,,,,,,,,,,,,4.64,32.9,35,21.3,19.1
Albury,2010-02-20,2009/2010,34,20,12,0,,,,,,,,,,,,,,,17.41,28.9,31,17.6,15.4
Albury,2010-02-27,2009/2010,35,90,62,0,,,,,,,,,,,,,,,11.96,29.5,34,16,12
Albury,2010-03-06,2009/2010,36,16,12,0,,,,,,,,,,,,,,,1.98,27.6,31.1,15.1,10.8
Albury,2010-03-13,2009/2010,37,19,15,0,,,,,,,,,,,,,,,78.82,24.4,30.2,14.2,8.3
Albury,2010-03-20,2009/2010,38,43,20,0,,,,,,,,,,,,,,,0,28.2,30.9,13.1,11.8
Albury,2010-03-27,2009/2010,39,5,2,0,,,,,,,,,,,,,,,0,27.9,31.6,11.8,8.3
Albury,2010-04-03,2009/2010,40,,,,,,,,,,,,,,,,,,13.79,26.8,30.2,14.6,10.1
Albury,2010-04-10,2009/2010,41,,,,,,,,,,,,,,,,,,6.46,23.8,25.3,12.6,10
Albury,2010-04-17,2009/2010,42,,,,,,,,,,,,,,,,,,6.47,20.5,24.2,7.8,4.1
Albury,2010-04-24,2009/2010,43,,,,,,,,,,,,,,,,,,0.31,26.2,28,10.5,8.3
Albury,2010-05-01,2009/2010,44,,,,,,,,,,,,,,,,,,16.68,17.8,19.3,9,4.9
Albury,2010-05-08,2009/2010,45,,,,,,,,,,,,,,,,,,7.08,19.2,24.6,6.7,5.8
Albury,2010-05-15,2009/2010,46,,,,,,,,,,,,,,,,,,0.14,17.4,19.5,4.4,1.1
Albury,2010-05-22,2009/2010,47,,,,,,,,,,,,,,,,,,0.08,17.6,19.2,2.4,1.5
Albury,2010-05-29,2009/2010,48,,,,,,,,,,,,,,,,,,22.66,16.7,19,6.2,0.6
Albury,2010-06-05,2009/2010,49,,,,,,,,,,,,,,,,,,30.94,17.6,19.6,7,4.7
