location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,2011-10-15,2011/2012,16,1,0,0,,,,,,,,,,,,,,,1.36,19.6,24.1,6.5,2.3
Albury,2011-10-22,2011/2012,17,,,,,,,,,,,,,,,,,,0,23.5,27.8,7.7,3.8
Albury,2011-10-29,2011/2012,18,1,0,0,,,,,,,,,,,,,,,13.79,25.3,30.2,12.2,8.5
Albury,2011-11-05,2011/2012,19,,,,,,,,,,,,,,,,,,1.62,23.2,26.7,9.4,6.2
Albury,2011-11-12,2011/2012,20,12,8,0,,,,,,,,,,,,,,,45.73,28.3,32.5,13.6,8.6
Albury,2011-11-19,2011/2012,21,10,4,0,,,,,,,,,,,,,,,0.52,27.5,31,13.5,10.6
Albury,2011-11-26,2011/2012,22,10,6,0,,,,,,,,,,,,,,,16.71,23.8,29.7,13,7.7
Albury,2011-12-03,2011/2012,23,56,47,0,,,,,,,,,,,,,,,66.15,26.4,35.4,13.7,6.6
Albury,2011-12-10,2011/2012,24,4,2,0,,,,,,,,,,,,,,,0.07,25.8,28.7,11,8.4
Albury,2011-12-17,2011/2012,25,46,39,0,,,,,,,,,,,,,,,16.78,26.6,28.8,13.1,9.8
Albury,2011-12-24,2011/2012,26,,,,,,,,,,,,,,,,,,6.06,28.8,31.1,16,12.8
Albury,2011-12-31,2011/2012,27,,,,,,,,,,,,,,,,,,17.17,29.5,32.8,15.7,13.1
Albury,2012-01-07,2011/2012,28,,,,,,,,,,,,,,,,,,0.16,33,38.1,16.3,12.9
Albury,2012-01-14,2011/2012,29,28,9,0,,,,,,,,,,,,,,,9.47,25.4,32.8,11.7,6
Albury,2012-01-21,2011/2012,30,60,57,0,,,,,,,,,,,,,,,0.28,32.2,35.7,16.5,13.1
Albury,2012-01-28,2011/2012,31,12,10,0,,,,,,,,,,,,,,,0.07,34,36,17.1,13.3
Albury,2012-02-04,2011/2012,32,,,,,,,,,,,,,,,,,,36.61,30.1,35.4,16.9,11.7
Albury,2012-02-11,2011/2012,33,88,59,0,,,,,,,,,,,,,,,7.58,28.5,32.9,13.1,9.8
Albury,2012-02-18,2011/2012,34,62,48,0,,,,,,,,,,,,,,,6.99,29.3,31.4,14.3,11
Albury,2012-02-25,2011/2012,35,,,,,,,,,,,,,,,,,,1.62,29.2,34,15.3,13.3
Albury,2012-03-03,2011/2012,36,73,47,0,,,,,,,,,,,,,,,168.74,26.4,35,17.9,16.2
Albury,2012-03-10,2011/2012,37,50,32,0,,,,,,,,,,,,,,,66.43,23.9,26.3,14.1,11.7
Albury,2012-03-17,2011/2012,38,,,,,,,,,,,,,,,,,,19.58,26.6,29.5,14.1,9.7
Albury,2012-03-24,2011/2012,39,60,30,0,,,,,,,,,,,,,,,17.1,24.2,27.6,11.7,8.2
Albury,2012-03-31,2011/2012,40,30,2,0,,,,,,,,,,,,,,,1.56,22.6,26.2,8.9,5.2
Albury,2012-04-07,2011/2012,41,,,,,,,,,,,,,,,,,,0.11,27.4,29.1,12.2,10
Albury,2012-04-14,2011/2012,42,,,,,,,,,,,,,,,,,,0,19.8,22.6,4.5,1
Albury,2012-04-21,2011/2012,43,20,1,0,,,,,,,,,,,,,,,37.11,23.5,25.8,11,6.7
