location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,1999-10-09,1999/2000,15,,,,,,,,,,,,,,,,,,8.88,21.7,23.4,9.9,8
Albury,1999-10-16,1999/2000,16,,,,,,,,,,,,,,,,,,34.89,22.5,27.4,12.1,8.6
Albury,1999-10-23,1999/2000,17,,,,,,,,,,,,,,,,,,4.03,20.6,24.7,8,4
Albury,1999-10-30,1999/2000,18,,,,,,,,,,,,,,,,,,7,20.4,25.7,7.9,5.6
Albury,1999-11-06,1999/2000,19,,,,,,,,,,,,,,,,,,7.67,21.8,24.2,10,4.7
Albury,1999-11-13,1999/2000,20,,,,,,,,,,,,,,,,,,14.49,20.9,24.4,8.2,5
Albury,1999-11-20,1999/2000,21,,,,,,,,,,,,,,,,,,0,22.5,27.3,7.5,4.3
Albury,1999-11-27,1999/2000,22,,,,,,,,,,,,,,,,,,42.23,23.3,28.6,10.4,6.7
Albury,1999-12-04,1999/2000,23,13,11,0,,,,,,,,,,,,,,,0,30.4,34.1,13.1,9.1
Albury,1999-12-11,1999/2000,24,20,14,0,,,,,,,,,,,,,,,3.43,30.4,35.5,14.2,10
Albury,1999-12-18,1999/2000,25,31,29,0,,,,,,,,,,,,,,,31.97,25.8,32,11.6,6.6
Albury,1999-12-25,1999/2000,26,36,30,0,,,,,,,,,,,,,,,0.03,26.7,29.5,12,7.6
Albury,2000-01-01,1999/2000,27,,,,,,,,,,,,,,,,,,74.57,23.4,28.1,14.3,11.1
Albury,2000-01-08,1999/2000,28,,,,,,,,,,,,,,,,,,1.65,25.4,29.5,11.8,9.2
Albury,2000-01-15,1999/2000,29,58,52,0,,,,,,,,,,,,,,,0.04,30.4,31.3,14.4,11.8
Albury,2000-01-22,1999/2000,30,80,70,0,,,,,,,,,,,,,,,0.06,30.5,33.9,17.3,14.2
Albury,2000-01-29,1999/2000,31,,,,,,,,,,,,,,,,,,2.96,24.3,27.6,12.2,7.7
Albury,2000-02-05,1999/2000,32,48,44,0,,,,,,,,,,,,,,,0,32.5,38.4,14.8,12
Albury,2000-02-12,1999/2000,33,176,161,0,,,,,,,,,,,,,,,0,35.5,37.9,19.5,16.5
