location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,2016-10-22,2016/2017,17,2480,0,0,,,,,,,,,,,,,,,16.6,19.6,24.2,7.4,3.6
Albury,2016-10-29,2016/2017,18,384,0,0,,,,,,,,,,,,,,,1.23,20.4,24.1,6.6,3.1
Albury,2016-11-05,2016/2017,19,144,0,0,,,,,,,,,,,,,,,1.91,21.8,27.6,8,4.6
Albury,2016-11-12,2016/2017,20,442,0,0,,,,,,,,,,,,,,,0.37,24.1,28.7,9,7.3
Albury,2016-11-19,2016/2017,21,228,1,0,,,,,,,,,,,,,,,28.63,24.3,29.7,11,6.5
Albury,2016-11-26,2016/2017,22,420,50,0,,,,,,,,,,,,,,,20.2,26.9,35.7,13.6,5.5
Albury,2016-12-03,2016/2017,23,332,64,0,,,,,,,,,,,,,,,0,28.8,31.5,10.7,7.3
Albury,2016-12-10,2016/2017,24,250,152,0,,1,,,,,,,,,,,,,1.32,28.6,32.5,13.5,9.6
Albury,2016-12-17,2016/2017,25,284,214,0,,,,,,,,,,,,,,,7.76,29,36.6,13,6.9
Albury,2016-12-24,2016/2017,26,173,126,0,,1,,,,,,,,,,,,,1.27,29.3,34.6,12.4,9
Albury,2016-12-31,2016/2017,27,,,,,,,,,,,,,,,,,,11.09,33,36,20,16.3
Albury,2017-01-07,2016/2017,28,,,,,,,,,,,,,,,,,,9.19,32.4,34.9,15.6,13.6
Albury,2017-01-14,2016/2017,29,99,97,0,,,,,,,,,,,,,,,10.78,33,35.5,18.7,14.3
Albury,2017-01-21,2016/2017,30,172,146,0,,1,,,,,,,,,,,,,31.57,31.4,40.3,14.8,10.8
Albury,2017-01-28,2016/2017,31,282,256,0,,,,,,,1,,,,,,,,2.83,33.4,39.1,16.5,10.9
Albury,2017-02-04,2016/2017,32,101,90,0,,,,,,,,,,,,,,,0,33.5,41.3,15.8,10.9
Albury,2017-02-11,2016/2017,33,32,30,0,,,,,,,,,,,,,,,8.23,34.3,43.2,19.4,12.7
Albury,2017-02-18,2016/2017,34,6,6,0,,,,,,,,,,,,,,,3.67,30.7,40.1,15.1,9.9
Albury,2017-02-25,2016/2017,35,2,1,0,,,,,,,,,,,,,,,3.98,28.1,35.3,10.6,6.8
Albury,2017-03-04,2016/2017,36,22,14,0,,,,,,,,,,,,,,,0.1,32.2,34.1,16,14.1
Albury,2017-03-11,2016/2017,37,3,1,0,,,,,,,,,,,,,,,0,30.3,32.2,14.7,10.7
Albury,2017-03-18,2016/2017,38,10,7,0,,,,,,,,,,,,,,,3.32,32.2,34.9,16.9,14.2
Albury,2017-03-25,2016/2017,39,18,16,0,,,,,,,,,,,,,,,58.35,28.7,33.9,17.4,12.9
Albury,2017-04-01,2016/2017,40,,,,,,,,,,,,,,,,,,6.36,26.3,34.1,12.8,6.2
Albury,2017-04-08,2016/2017,41,5,0,0,,,,,,,,,,,,,,,0,23.8,25.2,8.3,5.4
Albury,2017-04-15,2016/2017,42,1,0,0,,,,,,,,,,,,,,,12.96,21.9,24.1,8.8,6.1
Albury,2017-04-22,2016/2017,43,,,,,,,,,,,,,,,,,,1.51,23,26.4,9.4,5.8
Albury,2017-04-29,2016/2017,44,,,,,,,,,,,,,,,,,,61.02,19,23.6,9.5,2.7
Albury,2017-05-06,2016/2017,45,,,,,,,,,,,,,,,,,,0,18.3,19.4,5.9,2.8
Albury,2017-05-13,2016/2017,46,,,,,,,,,,,,,,,,,,0,18.1,20.7,3.8,1.3
Albury,2017-05-20,2016/2017,47,,,,,,,,,,,,,,,,,,0.19,18.6,21.4,6.2,4.2
Ballina,2016-10-22,2016/2017,17,,,,,,,,,,,,,,,,,,4.98,25.4,26.7,11.4,8.2
Ballina,2016-10-29,2016/2017,18,,,,,,,,,,,,,,,,,,5.06,25.9,29.7,14.4,9.7
Ballina,2016-11-05,2016/2017,19,,,,,,,,,,,,,,,,,,1.94,26.9,28.4,16.2,14.8
Ballina,2016-11-12,2016/2017,20,,,,,,,,,,,,,,,,,,38.73,30.3,34.5,17.6,14.9
Ballina,2016-11-19,2016/2017,21,,,,,,,,,,,,,,,,,,11.36,27.8,34,17,13.8
Ballina,2016-11-26,2016/2017,22,,,,,,,,,,,,,,,,,,0,27.3,28.1,15,13.3
Ballina,2016-12-03,2016/2017,23,,,,,,,,,,,,,,,,,,10.29,28.8,31.2,16.5,15.1
Ballina,2016-12-10,2016/2017,24,606,4,139,,,,,,,,,,,,,,,57.38,31.2,35.2,20.6,19.5
Ballina,2016-12-17,2016/2017,25,415,0,9,,,,,,,,,,,,,,,0,28,29.7,16.7,13.7
Ballina,2016-12-24,2016/2017,26,426,0,28,,,,,,,,,,,,,,,0.62,28.7,34.2,20,18.5
Ballina,2016-12-31,2016/2017,27,,,,,,,,,,,,,,,,,,4.97,29.7,33.4,18.2,16.3
Ballina,2017-01-07,2016/2017,28,276,2,25,,,,,,,,,,,,,,,53.54,30.1,36.1,21.2,19.3
Ballina,2017-01-14,2016/2017,29,824,0,16,,,,,,,,,,,,,,,32.15,30.2,33.2,20.3,16.9
Ballina,2017-01-21,2016/2017,30,452,2,42,,,,,,,,,,,,,,,12.53,31.5,36.1,21.8,20.3
Ballina,2017-01-28,2016/2017,31,145,0,32,,,,,,,,,,,,,,,32.27,29.2,32,21.2,18.1
Ballina,2017-02-04,2016/2017,32,235,0,34,,,,,,,,,,,,,,,7.15,31.9,34.7,21.9,20.5
Ballina,2017-02-11,2016/2017,33,231,6,12,,,,,,,,,,,,,,,6.29,31.4,32.9,21.6,20.6
Ballina,2017-02-18,2016/2017,34,444,4,16,,,,,,,,,,,,,,,1.61,31.9,37.7,21.1,18.3
Ballina,2017-02-25,2016/2017,35,297,2,34,,,,,,,,,,,,,,,8.07,29.1,32.2,19.9,17
Ballina,2017-03-04,2016/2017,36,736,23,103,,,,,,,,,,,,,,,114.69,27.2,28.9,18.6,16.3
Ballina,2017-03-11,2016/2017,37,204,2,38,,,,,,,,,,,,,,,12.53,27.5,30.4,18.4,16.3
Ballina,2017-03-18,2016/2017,38,570,8,154,,,,,,,,,,,,,,,199.58,26.7,29.5,19,15.7
Ballina,2017-03-25,2016/2017,39,278,9,8,,,,,,,,,,,,,,,131.03,28.1,29.8,21.7,20.5
Ballina,2017-04-01,2016/2017,40,1132,211,31,,,,,,,,,,,,,,,232.21,27,29.4,19.8,18.3
Ballina,2017-04-08,2016/2017,41,528,40,30,,,,,,,,,,,,,,,94.91,23.3,25.3,16.5,15.3
Ballina,2017-04-15,2016/2017,42,1885,81,102,,,,,,,,,,,,,,,21.59,25.2,29.1,15.4,12
Ballina,2017-04-22,2016/2017,43,1553,63,53,,,,,,,,,,,,,,,8.02,24.9,26.2,14.8,13.6
Ballina,2017-04-29,2016/2017,44,604,21,8,,,,,,,,,,,,,,,3.63,23.2,25.8,13.5,10.1
Ballina,2017-05-06,2016/2017,45,466,14,13,,,,,,,,,,,,,,,41.88,23.1,25.7,13.6,12.4
Ballina,2017-05-13,2016/2017,46,244,12,6,,,,,,,,,,,,,,,20.33,21.6,23.3,13.8,12.2
Ballina,2017-05-20,2016/2017,47,182,14,1,,,,,,,,,,,,,,,30.7,21.5,23.3,13.2,9
Bourke,2016-10-22,2016/2017,17,,,,,,,,,,,,,,,,,,2.3,28.4,34.1,11.4,6.4
Bourke,2016-10-29,2016/2017,18,25,0,0,,,,,,,,,,,,,,,5.6,28.3,35.3,11.3,7.3
Bourke,2016-11-05,2016/2017,19,27,4,0,,,,,,,,,,,,,,,0.26,30.2,35.7,14,9.5
Bourke,2016-11-12,2016/2017,20,,,,,,,,,,,,,,,,,,0.73,33.1,37.4,15.7,10.5
Bourke,2016-11-19,2016/2017,21,3,1,0,,,,,,,,,,,,,,,0.48,31.6,38.4,16.5,11.1
