location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,2017-11-04,2017/2018,18,,,,,,,,,,,,,,,,,,7.27,22,26.7,9.6,3.9
Albury,2017-11-11,2017/2018,19,2,0,0,,,,,,,,,,,,,,,20.34,23.3,27.7,7.5,4.1
Albury,2017-11-18,2017/2018,20,9,2,0,,,,,,,,,,,,,,,10.62,28.2,31.5,14.1,11.5
Albury,2017-11-25,2017/2018,21,14,4,0,,,,,,,,,,,,,,,9.68,29,32.3,14.2,13
Albury,2017-12-02,2017/2018,22,18,8,0,,,,,,,,,,,,,,,11.4,31,33.7,17.9,15.3
Albury,2017-12-09,2017/2018,23,8,4,0,,,,,,,,,,,,,,,93.61,23.7,28.7,12.6,10.7
Albury,2017-12-16,2017/2018,24,42,28,0,,,,,,,,,,,,,,,0.03,32,35,14.1,7.8
Albury,2017-12-23,2017/2018,25,78,58,0,,,,,,,,,,,,,,,0.74,32.7,36.8,17,12.2
Albury,2017-12-30,2017/2018,26,,,,,,,,,,,,,,,,,,1.58,31.1,34.7,16.1,12.8
Albury,2018-01-06,2017/2018,27,64,42,0,,,,,,,,,,,,,,,14.62,30.7,35.5,14.8,12.3
Albury,2018-01-13,2017/2018,28,105,98,0,,,,,,,,,,,,,,,5.94,35.5,40.9,18.7,11.8
Albury,2018-01-20,2017/2018,29,46,44,0,,,,,,,,,,,,,,,8.52,30.8,39.2,13.8,10.4
Albury,2018-01-27,2017/2018,30,27,24,0,,,,,,,,,,,,,,,5.33,38,42.2,21.3,17.8
Albury,2018-02-03,2017/2018,31,11,11,0,,,,,,,,,,,,,,,20.33,30.3,36.3,17.9,11.6
Albury,2018-02-10,2017/2018,32,52,46,0,,,,,,,,,,,,,,,0,34.2,38.6,18.3,14.3
Albury,2018-02-17,2017/2018,33,,,,,,,,,,,,,,,,,,0.5,30.6,34.4,12.2,8.6
Albury,2018-02-24,2017/2018,34,20,16,0,,,,,,,,,,,,,,,0.08,31.3,34.8,15.7,10.3
Albury,2018-03-03,2017/2018,35,6,2,0,,,,,,,,,,,,,,,28.58,30.3,35.7,15.3,13.3
Albury,2018-03-10,2017/2018,36,3,3,0,,,,,,,,,,,,,,,0,30.9,34,12.6,10.4
Albury,2018-03-17,2017/2018,37,16,6,0,,,,,,,,,,,,,,,0,31.2,34.6,13.2,11.1
Albury,2018-03-24,2017/2018,38,13,0,0,,,,,,,,,,,,,,,0.03,28.7,33.4,13.1,5.9
Albury,2018-03-31,2017/2018,39,0,0,0,,,,,,,,,,,,,,,19.72,25.7,32,11,5.7
Albury,2018-04-07,2017/2018,40,,,,,,,,,,,,,,,,,,0,28.7,31.5,10.2,8.3
Albury,2018-04-14,2017/2018,41,,,,,,,,,,,,,,,,,,0,30.9,34,11.3,6
Albury,2018-04-21,2017/2018,42,,,,,,,,,,,,,,,,,,8.07,22.4,27.5,9.6,6.5
Albury,2018-04-28,2017/2018,43,,,,,,,,,,,,,,,,,,0.3,25.2,27.2,8.4,6.6
Albury,2018-05-05,2017/2018,44,,,,,,,,,,,,,,,,,,11.99,22.4,28.1,7,4.3
Albury,2018-05-12,2017/2018,45,,,,,,,,,,,,,,,,,,5.69,17.8,22.3,5.1,3.9
Ballina,2017-11-04,2017/2018,18,,,,,,,,,,,,,,,,,,1.35,27.3,31.1,16.9,12.6
Ballina,2017-11-11,2017/2018,19,,,,,,,,,,,,,,,,,,120.41,24.1,27.2,15.9,13.1
Ballina,2017-11-18,2017/2018,20,,,,,,,,,,,,,,,,,,30.51,24.5,25.6,14.8,13.1
Ballina,2017-11-25,2017/2018,21,,,,,,,,,,,,,,,,,,32.97,24.5,26.1,15.8,14.7
Ballina,2017-12-02,2017/2018,22,,,,,,,,,,,,,,,,,,14.87,27.1,28.1,19,16.6
Ballina,2017-12-09,2017/2018,23,658,7,26,,,,,,,,,,,,,,,22.81,28.5,30.5,18.1,14.8
Ballina,2017-12-16,2017/2018,24,444,4,8,,,,,,,,,,,,,,,4.27,27.4,29.1,17.2,16.1
Ballina,2017-12-23,2017/2018,25,485,3,6,,,,,,,,,,,,,,,28.56,29.6,33,20.1,17.7
Ballina,2017-12-30,2017/2018,26,,,,,,,,,,,,,,,,,,71.58,29.1,33.2,20,19.2
Ballina,2018-01-06,2017/2018,27,,,,,,,,,,,,,,,,,,71.5,28.4,30.2,20.8,19.1
Ballina,2018-01-13,2017/2018,28,,,,,,,,,,,,,,,,,,0,30.7,31.9,20,18.1
Ballina,2018-01-20,2017/2018,29,462,10,6,,,,,,,,,,,,,,,0,27.3,34.2,17.4,14.4
Ballina,2018-01-27,2017/2018,30,436,10,3,,,,,,,,,,,,,,,1.72,30,32.4,19,16.5
Ballina,2018-02-03,2017/2018,31,516,5,2,,,,,,,,,,,,,,,67.14,27.3,30.7,19.9,16.8
Ballina,2018-02-10,2017/2018,32,538,13,2,,,,,,,,,,,,,,,40.97,26.6,28.8,17.2,15.5
Ballina,2018-02-17,2017/2018,33,1846,16,46,,,,,,,,,,,,,,,3.7,31.5,34.4,21.3,17.2
Ballina,2018-02-24,2017/2018,34,664,16,5,,,,,,,,,,,,,,,38.62,27.5,29.5,20.6,19
Ballina,2018-03-03,2017/2018,35,220,4,4,,,,,,,,,,,,,,,86.18,28.8,32.9,20.6,17.7
Ballina,2018-03-10,2017/2018,36,337,10,34,,,,,,,,,,,,,,,62.16,27.3,30.9,20.4,19.2
Ballina,2018-03-17,2017/2018,37,352,13,4,,,,,,,,,,,,,,,23.91,26.4,27.6,18.2,16.9
Ballina,2018-03-24,2017/2018,38,233,6,1,,,,,,,,,,,,,,,37.99,28.6,30.9,19.7,18
Ballina,2018-03-31,2017/2018,39,484,34,2,,,,,,,,,,,,,,,48.05,27.4,30.4,20,18
Ballina,2018-04-07,2017/2018,40,287,10,2,,,,,,,,,,,,,,,17.97,27.2,27.8,18.7,17.2
Ballina,2018-04-14,2017/2018,41,111,3,0,,,,,,,,,,,,,,,2.04,27.1,28.5,16.5,14.9
Ballina,2018-04-21,2017/2018,42,87,1,0,,,,,,,,,,,,,,,35.12,27,31.9,16.5,13.9
Ballina,2018-04-28,2017/2018,43,228,11,0,,,,,,,,,,,,,,,82.57,23.6,25,16.4,15.9
Ballina,2018-05-05,2017/2018,44,,,,,,,,,,,,,,,,,,68.07,23.4,26.6,14.3,13.9
Ballina,2018-05-12,2017/2018,45,87,0,0,,,,,,,,,,,,,,,30.06,23.6,26.5,15.2,12.5
Blacktown,2017-11-04,2017/2018,18,,,,,,,,,,,,,,,,,,0.14,28.8,35.9,13.4,9.6
Blacktown,2017-11-11,2017/2018,19,,,,,,,,,,,,,,,,,,16.8,21.8,25.5,11.9,8.9
Blacktown,2017-11-18,2017/2018,20,,,,,,,,,,,,,,,,,,0.07,25.7,28,13.4,11.2
Blacktown,2017-11-25,2017/2018,21,,,,,,,,,,,,,,,,,,2.18,26.8,32.5,15.5,13.6
Blacktown,2017-12-02,2017/2018,22,,,,,,,,,,,,,,,,,,4.96,30.4,34.5,17.8,15.5
Blacktown,2017-12-09,2017/2018,23,,,,,,,,,,,,,,,,,,22.76,28.2,33.3,16.5,15.1
Blacktown,2017-12-16,2017/2018,24,60,2,0,,,,,,,,,,,,,,,2.69,32.4,42.2,16.8,13.9
Blacktown,2017-12-23,2017/2018,25,32,0,0,,,,,,,,,,,,,,,14.46,34.1,41.9,21,19.1
Blacktown,2017-12-30,2017/2018,26,,,,,,,,,,,,,,,,,,2.48,32,41.6,17.4,15.4
Blacktown,2018-01-06,2017/2018,27,,,,,,,,,,,,,,,,,,6.69,31.2,37.3,18.3,13.8
Blacktown,2018-01-13,2017/2018,28,12,0,0,,,,,,,,,,,,,,,22.71,34.7,45.7,19.4,17
Blacktown,2018-01-20,2017/2018,29,,,,,,,,,,,,,,,,,,1.37,30.6,37.9,15.5,11.1
Blacktown,2018-01-27,2017/2018,30,62,11,2,,,,,,,,,,,,,,,0,35.1,40.7,18.6,13
Blacktown,2018-02-03,2017/2018,31,24,2,0,,,,,,,,,,,,,,,0.22,29.3,35.3,19.4,15.5
Blacktown,2018-02-10,2017/2018,32,52,2,0,,,,,,,,,,,,,,,7.94,31,36,16.1,14.5
Blacktown,2018-02-17,2017/2018,33,32,1,0,,,,,,,,,,,,,,,2.03,34,39.2,19.6,15.4
Blacktown,2018-02-24,2017/2018,34,16,0,0,,,,,,,,,,,,,,,5.13,29.4,34.2,17.8,15.6
Blacktown,2018-03-03,2017/2018,35,,,,,,,,,,,,,,,,,,63.09,28.5,38,17.6,14
Blacktown,2018-03-10,2017/2018,36,5,0,0,,,,,,,,,,,,,,,9.23,27,32.3,17.5,15.3
Blacktown,2018-03-17,2017/2018,37,,,,,,,,,,,,,,,,,,11.29,28,35.1,17.1,14.2
Blacktown,2018-03-24,2017/2018,38,,,,,,,,,,,,,,,,,,20.41,29.3,39.1,16.9,15.2
Blacktown,2018-03-31,2017/2018,39,,,,,,,,,,,,,,,,,,6.61,29.5,34.6,15.1,9.2
Blacktown,2018-04-07,2017/2018,40,,,,,,,,,,,,,,,,,,0.63,29.1,34.1,17.5,15.1
Blacktown,2018-04-14,2017/2018,41,,,,,,,,,,,,,,,,,,0.01,31.9,35.4,16.5,14.3
Blacktown,2018-04-21,2017/2018,42,,,,,,,,,,,,,,,,,,1.08,26.7,31.1,15,11.5
Blacktown,2018-04-28,2017/2018,43,,,,,,,,,,,,,,,,,,0.21,25.3,27.1,13.7,11.5
Blacktown,2018-05-05,2017/2018,44,,,,,,,,,,,,,,,,,,10.82,23.8,28,11.3,8.8
Blacktown,2018-05-12,2017/2018,45,,,,,,,,,,,,,,,,,,0,23.8,26,7.9,5.4
Bourke,2017-11-04,2017/2018,18,,,,,,,,,,,,,,,,,,3,29.2,33.8,13.6,9.5
Bourke,2017-11-11,2017/2018,19,,,,,,,,,,,,,,,,,,2.99,30.6,33.6,16.6,13.3
Bourke,2017-11-18,2017/2018,20,,,,,,,,,,,,,,,,,,2.2,32.8,34.6,17.6,15.1
Bourke,2017-11-25,2017/2018,21,,,,,,,,,,,,,,,,,,1.35,32.7,35.5,18.1,16.2
Bourke,2017-12-02,2017/2018,22,0,0,0,,,,,,,,,,,,,,,23.38,35.9,40,22.6,20.5
Bourke,2017-12-09,2017/2018,23,0,0,0,,,,,,,,,,,,,,,32.57,28.2,36,15.1,12
Bourke,2017-12-16,2017/2018,24,3,1,0,,,,,,,,,,,,,,,0.06,37.4,41.7,21.5,15.6
Bourke,2017-12-23,2017/2018,25,4,1,0,,,,,,,,,,,,,,,0.37,40.5,44.7,25.4,20.9
Bourke,2017-12-30,2017/2018,26,,,,,,,,,,,,,,,,,,0.35,40.2,44.1,24,20.1
Bourke,2018-01-06,2017/2018,27,,,,,,,,,,,,,,,,,,0.51,37.8,41.3,23,20.2
Bourke,2018-01-13,2017/2018,28,5,0,0,,,,,,,,,,,,,,,4.22,43.3,44.9,27.3,24.3
Bourke,2018-01-20,2017/2018,29,29,25,0,,,,,,,,,,,,,,,0.11,36.5,41.5,19.9,17
Bourke,2018-01-27,2017/2018,30,3,1,0,,,,,,,,,,,,,,,0.71,43,44,24.9,20.9
Bourke,2018-02-03,2017/2018,31,6,5,0,,,,,,,,,,,,,,,8.66,35.4,42,23.1,18.8
Bourke,2018-02-10,2017/2018,32,2,2,0,,,,,,,,,,,,,,,0.13,36.9,42.3,20.2,17.8
Bourke,2018-02-17,2017/2018,33,,,,,,,,,,,,,,,,,,0.03,39.9,44,24.1,18.2
Bourke,2018-02-24,2017/2018,34,0,0,0,,,,,,,,,,,,,,,0,37.4,41.2,22.2,18.3
Bourke,2018-03-03,2017/2018,35,3,1,0,,,,,,,,,,,,,,,1.55,36.8,39.6,22.2,18.8
Bourke,2018-03-10,2017/2018,36,,,,,,,,,,,,,,,,,,14.39,33.3,39.6,21.8,20.4
Bourke,2018-03-17,2017/2018,37,,,,,,,,,,,,,,,,,,0,35.6,38.4,19.1,16.6
Bourke,2018-03-24,2017/2018,38,,,,,,,,,,,,,,,,,,1.44,36.1,40.3,21.8,19.9
Bourke,2018-03-31,2017/2018,39,,,,,,,,,,,,,,,,,,1.96,33.8,37.3,16.8,10.3
Bourke,2018-04-07,2017/2018,40,,,,,,,,,,,,,,,,,,0.24,35.4,36.8,19.2,17.2
Bourke,2018-04-14,2017/2018,41,,,,,,,,,,,,,,,,,,0,35.6,37.8,17.6,15.4
Bourke,2018-04-21,2017/2018,42,,,,,,,,,,,,,,,,,,6.51,30.2,33.3,15.7,12.6
Bourke,2018-04-28,2017/2018,43,,,,,,,,,,,,,,,,,,1.68,30,31.3,13.7,12
Bourke,2018-05-05,2017/2018,44,,,,,,,,,,,,,,,,,,0.09,26.6,29.8,12.7,10.3
Bourke,2018-05-12,2017/2018,45,,,,,,,,,,,,,,,,,,0.95,24.5,28.7,8.5,5
Central Coast,2017-11-04,2017/2018,18,,,,,,,,,,,,,,,,,,2.06,27,35.2,13.5,10.5
Central Coast,2017-11-11,2017/2018,19,,,,,,,,,,,,,,,,,,43.06,21,25.9,12.6,9.7
Central Coast,2017-11-18,2017/2018,20,,,,,,,,,,,,,,,,,,1.02,23.4,25.1,12.3,10.4
Central Coast,2017-11-25,2017/2018,21,,,,,,,,,,,,,,,,,,3.34,24.6,28.5,15,13.8
Central Coast,2017-12-02,2017/2018,22,,,,,,,,,,,,,,,,,,7.98,27.2,30.2,17.2,14.3
Central Coast,2017-12-09,2017/2018,23,75,1,14,,,,,,,,,,,,,,,32.89,26.7,31.8,16.4,15.1
Central Coast,2017-12-16,2017/2018,24,50,0,10,,,,,,,,,,,,,,,7.88,29.3,39.8,16.7,13.8
Central Coast,2017-12-23,2017/2018,25,193,0,84,,,,,,,,,,,,,,,14.46,31.4,40.6,20.2,19
Central Coast,2017-12-30,2017/2018,26,,,,,,,,,,,,,,,,,,8.63,29.3,39.9,17.7,15.8
Central Coast,2018-01-06,2017/2018,27,46,0,25,,,,,,,,,,,,,,,7.46,28.4,35.1,18.5,13.8
Central Coast,2018-01-13,2017/2018,28,32,0,26,,,,,,,,,,,,,,,18.42,32.2,43.7,19.5,16.4
Central Coast,2018-01-20,2017/2018,29,23,0,10,,,,,,,,,,,,,,,0.71,27.9,34.9,15.5,11.4
Central Coast,2018-01-27,2017/2018,30,38,0,16,,,,,,,,,,,,,,,0.01,32.4,37.2,18.2,13.8
Central Coast,2018-02-03,2017/2018,31,125,0,108,,,,,,,,,,,,,,,6.34,26.7,32,18.9,14.8
