location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,2007-11-10,2007/2008,19,,,,,,,,,,,,,,,,,,51.43,21.9,25.3,10.5,8.8
Albury,2007-11-17,2007/2008,20,,,,,,,,,,,,,,,,,,0,31.2,34,12.1,10.6
Albury,2007-11-24,2007/2008,21,,,,,,,,,,,,,,,,,,33.83,31,38.5,17.1,14.5
Albury,2007-12-01,2007/2008,22,10,8,0,,,,,,,,,,,,,,,3.17,29.6,33.1,17.7,14.9
Albury,2007-12-08,2007/2008,23,19,15,0,,,,,,,,,,,,,,,7.67,29.4,31.6,17,12.8
Albury,2007-12-15,2007/2008,24,8,4,0,,,,,,,,,,,,,,,3.22,29.2,31.9,13.6,11.6
Albury,2007-12-22,2007/2008,25,38,26,0,,,,,,,,,,,,,,,30.98,27.3,29.4,16.5,13.7
Albury,2007-12-29,2007/2008,26,,,,,,,,,,,,,,,,,,29.9,26.8,32.8,13.2,9.9
Albury,2008-01-05,2007/2008,27,,,,,,,,,,,,,,,,,,0,36.3,39.5,18.8,15
Albury,2008-01-12,2007/2008,28,15,9,0,,,,,,,,,,,,,,,0,36.7,38.7,20.1,17.3
Albury,2008-01-19,2007/2008,29,12,10,0,,,,,,,,,,,,,,,1.83,33.8,36.5,18.8,15.6
Albury,2008-01-26,2007/2008,30,26,18,0,,,,,,,,,,,,,,,60.52,27.1,30.6,16.6,15.5
Albury,2008-02-02,2007/2008,31,54,48,0,,,,,,,,,,,,,,,18.82,32.7,35.1,17.7,15.3
Albury,2008-02-09,2007/2008,32,28,18,0,,,,,,,,,,,,,,,25.22,28.1,31.6,18.2,12.1
Albury,2008-02-16,2007/2008,33,79,66,0,,,,,,,,,,,,,,,36.78,26.9,29.4,13.5,11.7
Albury,2008-02-23,2007/2008,34,50,41,0,,,,,,,,,,,,,,,0,28.8,31.5,16.5,15.3
Albury,2008-03-01,2007/2008,35,29,18,0,,,,,,,,,,,,,,,0.3,25.2,28.8,10.8,7.1
Albury,2008-03-08,2007/2008,36,28,22,0,,,,,,,,,,,,,,,0,29.1,33.1,9.9,6.8
Albury,2008-03-15,2007/2008,37,,,,,,,,,,,,,,,,,,0,34.7,37.9,14.8,11.8
