location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Ballina,1994-10-08,1994/1995,15,,,,,,,,,,,,,,,,,,0.41,26.7,31,13.6,9.1
Ballina,1994-10-15,1994/1995,16,56,0,6,,,,,,,,,,,,,,,14.26,23.5,27.1,10.9,8.8
Ballina,1994-10-22,1994/1995,17,,,,,,,,,,,,,,,,,,5.97,24.8,27.5,13.5,9.4
Ballina,1994-10-29,1994/1995,18,,,,,,,,,,,,,,,,,,7.92,24.3,29.3,12.9,9.1
Ballina,1994-11-05,1994/1995,19,25,2,1,,,,,,,,,,,,,,,30.83,25.2,29.3,14.9,12.6
Ballina,1994-11-12,1994/1995,20,16,0,0,,,,,,,,,,,,,,,0.08,28.8,34.8,16.9,13.8
Ballina,1994-11-19,1994/1995,21,39,1,3,,,,,,,,,,,,,,,12.43,27.2,31.6,17.6,14.5
Ballina,1994-11-26,1994/1995,22,76,1,14,,,,,,,,,,,,,,,5.88,27.8,34.7,18.1,15.3
Ballina,1994-12-03,1994/1995,23,94,0,12,,,,,,,,,,,,,,,130.56,25.8,28.9,18.2,16.1
Ballina,1994-12-10,1994/1995,24,21,0,0,,,,,,,,,,,,,,,115.6,24.8,27.3,17.4,15.9
Ballina,1994-12-17,1994/1995,25,264,1,16,,,,,,,,,,,,,,,36.58,25.7,27.2,16.8,14.2
Ballina,1994-12-24,1994/1995,26,239,7,22,,,,,,,,,,,,,,,0,29,32.7,18.8,16.6
Ballina,1994-12-31,1994/1995,27,,,,,,,,,,,,,,,,,,21.17,29.3,35,20.4,19.2
Ballina,1995-01-07,1994/1995,28,115,4,4,,,,,,,,,,,,,,,5.73,28.1,30.4,19.7,18.1
Ballina,1995-01-14,1994/1995,29,155,3,29,,,,,,,,,,,,,,,36.16,26.3,30.7,18.6,16.4
Ballina,1995-01-21,1994/1995,30,588,0,63,,,,,,,,,,,,,,,10.69,27.2,28.3,19.4,17.1
Ballina,1995-01-28,1994/1995,31,300,2,87,,,,,,,,,,,,,,,19.63,26.3,32.6,18.8,16.3
Ballina,1995-02-04,1994/1995,32,294,0,62,,,,,,,,,,,,,,,3.03,29.5,32.6,19.8,18.2
Ballina,1995-02-11,1994/1995,33,343,1,213,,,,,,,,,,,,,,,20.43,28.9,33.7,20.4,16.1
Ballina,1995-02-18,1994/1995,34,546,11,185,,,,,,,,,,,,,,,321.78,26,28.1,19.7,18
Ballina,1995-02-25,1994/1995,35,522,8,266,,,,,,,,,,,,,,,15.68,25.2,26.3,19.6,16.7
Ballina,1995-03-04,1994/1995,36,492,4,91,,,,,,,,,,,,,,,21.9,26.5,29,18.8,17.4
Ballina,1995-03-11,1994/1995,37,612,5,26,,,,,,,,,,,,,,,130.43,28.1,30.4,20.7,18.5
Ballina,1995-03-18,1994/1995,38,426,12,64,,,,,,,,,,,,,,,22.8,25.5,26.7,16.9,13.7
Ballina,1995-03-25,1994/1995,39,271,3,37,,,,,,,,,,,,,,,0.08,28.3,29.7,17.3,14.8
Ballina,1995-04-01,1994/1995,40,174,6,16,,,,,,,,,,,,,,,20.02,27.5,30,17.9,13.6
Ballina,1995-04-08,1994/1995,41,167,4,33,,,,,,,,,,,,,,,1.25,26.5,28.5,13.9,11.6
Ballina,1995-04-15,1994/1995,42,136,4,26,,,,1,,,,,,,,,,,27.62,23.2,26.3,11.9,9.2
Ballina,1995-04-22,1994/1995,43,,,,,,,,,,,,,,,,,,47.45,25.2,27.2,15,13.4
Ballina,1995-04-29,1994/1995,44,,,,,,,,,,,,,,,,,,30.27,23.8,25.8,15.1,13.4
Ballina,1995-05-06,1994/1995,45,,,,,,,,,,,,,,,,,,17.73,22.9,25.3,14,11.2
Ballina,1995-05-13,1994/1995,46,,,,,,,,,,,,,,,,,,25.15,21.5,23.7,14.7,13.6
Ballina,1995-05-20,1994/1995,47,,,,,,,,,,,,,,,,,,13.56,23.6,25.9,17.1,11.4
Ballina,1995-05-27,1994/1995,48,,,,,,,,,,,,,,,,,,66.77,21.5,23.1,14.1,12.2
Batemans Bay,1994-10-08,1994/1995,15,,,,,,,,,,,,,,,,,,7.14,20.5,22.8,6.4,2.1
Batemans Bay,1994-10-15,1994/1995,16,,,,,,,,,,,,,,,,,,1.35,18.6,20.9,5.1,3.3
Batemans Bay,1994-10-22,1994/1995,17,,,,,,,,,,,,,,,,,,68.4,20,32.5,8.3,4.6
Batemans Bay,1994-10-29,1994/1995,18,,,,,,,,,,,,,,,,,,29.41,20.5,25.2,8.7,6.2
Batemans Bay,1994-11-05,1994/1995,19,,,,,,,,,,,,,,,,,,22.74,19.6,22.6,8.5,5.5
Batemans Bay,1994-11-12,1994/1995,20,,,,,,,,,,,,,,,,,,23.9,20.9,29.8,9,6.7
Batemans Bay,1994-11-19,1994/1995,21,,,,,,,,,,,,,,,,,,2.71,20.5,23.1,10.6,9.3
Batemans Bay,1994-11-26,1994/1995,22,,,,,,,,,,,,,,,,,,3.85,24.2,30.7,12.1,8.4
Batemans Bay,1994-12-03,1994/1995,23,,,,,,,,,,,,,,,,,,24.81,23.2,30.7,12.1,8.5
Batemans Bay,1994-12-10,1994/1995,24,335,0,296,,,,,,,,,,,,,,,15.29,24.1,33.1,11,8.8
Batemans Bay,1994-12-17,1994/1995,25,431,0,384,,,,,,,,,,,,,,,0.06,24.2,28.5,10.7,7.2
Batemans Bay,1994-12-24,1994/1995,26,300,0,252,,,,,,,,,,,,,,,64.89,27.6,33,16.4,14.3
Batemans Bay,1994-12-31,1994/1995,27,,,,,,,,,,,,,,,,,,8.36,24.3,32.9,14,12.7
Batemans Bay,1995-01-07,1994/1995,28,,,,,,,,,,,,,,,,,,35.81,24,28.9,15,12.3
Batemans Bay,1995-01-14,1994/1995,29,1340,2,1318,,,,,1,,,,,,,,,,17.76,24.4,29.6,13.8,12.3
Batemans Bay,1995-01-21,1994/1995,30,1315,1,1282,,1,,1,1,,,,,,,,,,50.76,24.1,26.8,16.3,13.6
Batemans Bay,1995-01-28,1994/1995,31,1894,0,1824,,1,,1,1,,,,,,,,,,70.89,22.7,24.6,12.8,7.8
Batemans Bay,1995-02-04,1994/1995,32,737,0,694,,,,,1,,,,,,,,,,36.93,25.4,32.9,14.3,10.7
Batemans Bay,1995-02-11,1994/1995,33,1908,0,1871,,1,,1,1,1,,,,,,,,,5.19,23.3,27.2,14.1,11.9
Batemans Bay,1995-02-18,1994/1995,34,1268,6,1202,,1,,1,1,1,,,,,,,,,7.4,24.4,25.6,14.8,13.4
